"","H","C","D","tau"
"1",0.999985803005062,1.39989087132378e-05,3,1
"2",0.999994705514635,5.22240046086969e-06,3,1
"3",0.999992049442097,7.84996378902856e-06,3,1
"4",0.999985541462393,1.42571711911909e-05,3,1
"5",0.999984676112236,1.51216759357401e-05,3,1
"6",0.999921750041244,7.72345290683187e-05,3,1
"7",0.999977883398956,2.18372915315047e-05,3,1
"8",0.999959479217509,3.99493443237787e-05,3,1
"9",0.999993703119299,6.21443297357047e-06,3,1
"10",0.999966782695265,3.27602989462183e-05,3,1
"11",0.999992786007395,7.11790723225344e-06,3,1
"12",0.999998219809464,1.75671345880348e-06,3,1
"13",0.999916752482475,8.21116649138469e-05,3,1
"14",0.999987054604006,1.27781119478698e-05,3,1
"15",0.999976797856325,2.29153343670661e-05,3,1
"16",0.999972641108827,2.6984157842877e-05,3,1
"17",0.999967004714838,3.25505775391134e-05,3,1
"18",0.999991630969896,8.25590992586693e-06,3,1
"19",0.999989541404121,1.03198497672215e-05,3,1
"20",0.999974555529283,2.51094288327608e-05,3,1
"21",0.99999302995159,6.8691836351164e-06,3,1
"22",0.999935540747256,6.36184526932726e-05,3,1
"23",0.999992091461648,7.79966223562932e-06,3,1
"24",0.999950361684897,4.90824781417977e-05,3,1
"25",0.99999150479293,8.37725230898879e-06,3,1
"26",0.999963713551773,3.58099930373904e-05,3,1
"27",0.999992974306451,6.9290695827054e-06,3,1
"28",0.999984873835121,1.4918237696709e-05,3,1
"29",0.999986157560169,1.36604785456919e-05,3,1
"30",0.999983308166336,1.64584984565038e-05,3,1
"31",0.99999271539821,7.19069993640506e-06,3,1
"32",0.999991441234918,8.45083726590751e-06,3,1
"33",0.999951276856146,4.80343023115903e-05,3,1
"34",0.999984069325206,1.5749592256257e-05,3,1
"35",0.99998792669594,1.19109044190797e-05,3,1
"36",0.999988078267489,1.17651853020524e-05,3,1
"37",0.999962251097456,3.72351030783347e-05,3,1
"38",0.99998531370243,1.44984578070238e-05,3,1
"39",0.999983168958799,1.66057171841274e-05,3,1
