"","H","C","D","tau"
"1",0.99999861748051,1.36436627109419e-06,3,1
"2",0.999998270398979,1.70628439007103e-06,3,1
"3",0.999983823907367,1.59436145239136e-05,3,1
"4",0.999991159809968,8.72663457010101e-06,3,1
"5",0.999988481588171,1.13763971636614e-05,3,1
"6",0.99999134207906,8.54340381971568e-06,3,1
"7",0.999973173596005,2.64208738383553e-05,3,1
"8",0.999986069650231,1.37588658359818e-05,3,1
"9",0.999968027811025,3.1528536091551e-05,3,1
"10",0.999987163845503,1.26679855827152e-05,3,1
"11",0.999985433028252,1.43714129766605e-05,3,1
"12",0.999986478947784,1.33341389984294e-05,3,1
"13",0.999982383756141,1.73799999847747e-05,3,1
"14",0.999983312567227,1.64678364944423e-05,3,1
"15",0.999983826524134,1.59523014461012e-05,3,1
"16",0.999995905241135,4.04401928934708e-06,3,1
"17",0.999975769717069,2.39355442143782e-05,3,1
"18",0.999965440044705,3.40893447367813e-05,3,1
"19",0.999993259097644,6.65225053599786e-06,3,1
"20",0.999995216098747,4.72107648182394e-06,3,1
"21",0.999984090968898,1.57036111597906e-05,3,1
"22",0.99997172103588,2.79184155815674e-05,3,1
"23",0.99998645579996,1.33756673283103e-05,3,1
"24",0.999991945166754,7.94416319266009e-06,3,1
"25",0.99999332572193,6.58932464461526e-06,3,1
"26",0.999959970050488,3.95122600555732e-05,3,1
"27",0.999992996860488,6.90889900746125e-06,3,1
"28",0.999993177640488,6.73184940453113e-06,3,1
"29",0.999992971268872,6.93686557289777e-06,3,1
"30",0.999947535267879,5.16730948608551e-05,3,1
"31",0.999996764205822,3.19290624778221e-06,3,1
"32",0.999972163589135,2.75226405866284e-05,3,1
"33",0.99999497994204,4.95497957978184e-06,3,1
"34",0.999967935912103,3.16599891684974e-05,3,1
"35",0.999987334969044,1.2513847960687e-05,3,1
"36",0.999997851396194,2.12095448612453e-06,3,1
"37",0.999978095542338,2.16025702976622e-05,3,1
"38",0.999991792868236,8.09227129564932e-06,3,1
"39",0.999971859520852,2.77347107684205e-05,3,1
"40",0.999970271393891,2.93669535703976e-05,3,1
"41",0.999975106171599,2.45733797129643e-05,3,1
"42",0.999971259634676,2.83852838272041e-05,3,1
"43",0.999997551977138,2.41743742706548e-06,3,1
"44",0.999996797538307,3.15942948778071e-06,3,1
"45",0.999969219542509,3.04024832424305e-05,3,1
"46",0.999977408540956,2.23081494276153e-05,3,1
"47",0.999991404786529,8.48098608045319e-06,3,1
"48",0.999962368947004,3.71346373640172e-05,3,1
"49",0.999976148386768,2.35013447260789e-05,3,1
"50",0.999969556679787,3.00712809872034e-05,3,1
"51",0.999888517893771,0.000110289660745089,3,1
"52",0.999994415802257,5.51641540017392e-06,3,1
"53",0.999991613005713,8.27522499180575e-06,3,1
"54",0.999977099404615,2.25951921331013e-05,3,1
"55",0.999956174546955,4.32971522998916e-05,3,1
"56",0.999956531745911,4.29234815094769e-05,3,1
"57",0.999983034203818,1.67364616473744e-05,3,1
"58",0.999993514661033,6.39822387066867e-06,3,1
"59",0.999993678271244,6.23337630585903e-06,3,1
"60",0.999984324767132,1.54751789329969e-05,3,1
"61",0.99999359062123,6.32213507187916e-06,3,1
"62",0.999948257758533,5.10620804223483e-05,3,1
"63",0.999954133569564,4.52941621364333e-05,3,1
"64",0.999972209678379,2.74423756338635e-05,3,1
"65",0.9999747644128,2.48750453599187e-05,3,1
"66",0.999979716548134,1.99989226717591e-05,3,1
"67",0.999983421299139,1.63663880727148e-05,3,1
"68",0.999989160449724,1.06901071603431e-05,3,1
"69",0.999991784441734,8.11400260078708e-06,3,1
"70",0.999991655792207,8.22512578679619e-06,3,1
"71",0.999983154415573,1.66385206821682e-05,3,1
"72",0.999990610855512,9.27086885332301e-06,3,1
"73",0.99999678940518,3.16750284965118e-06,3,1
"74",0.999986939689874,1.28788184766879e-05,3,1
"75",0.999979834256146,1.99026601899966e-05,3,1
"76",0.999987356519287,1.24779520666909e-05,3,1
"77",0.999993745621135,6.17531531078706e-06,3,1
"78",0.999978453284228,2.1250792195611e-05,3,1
"79",0.999968882679113,3.07034300067789e-05,3,1
"80",0.999973948724039,2.57116020500043e-05,3,1
"81",0.999960244213258,3.93462703503486e-05,3,1
"82",0.999979486792223,2.02226676647577e-05,3,1
"83",0.999979002087407,2.07061696813133e-05,3,1
"84",0.99996264669029,3.68616798825707e-05,3,1
"85",0.999967310625659,3.2252368118466e-05,3,1
"86",0.999988656255086,1.1192520196908e-05,3,1
"87",0.999969543714557,3.00607175861721e-05,3,1
"88",0.999994338392877,5.58935037124303e-06,3,1
"89",0.999991866628677,8.02274086790599e-06,3,1
"90",0.999992542246151,7.3597550308791e-06,3,1
"91",0.99999694019686,3.02030325329835e-06,3,1
"92",0.999978309315411,2.13754167499845e-05,3,1
"93",0.999983961585603,1.58019881096782e-05,3,1
"94",0.999992907973208,6.9994911097832e-06,3,1
"95",0.999966270984563,3.32704982543145e-05,3,1
"96",0.999976480449319,2.31868691662295e-05,3,1
"97",0.999960534653138,3.89461948647688e-05,3,1
"98",0.999987963571324,1.1886067866474e-05,3,1
"99",0.999993170444415,6.735895113387e-06,3,1
"100",0.999987481002421,1.23525102620555e-05,3,1
"101",0.999944292681949,7.31029814694123e-05,4,1
"102",0.999946050162042,7.06807958408417e-05,4,1
"103",0.999908017713387,0.000120809537988375,4,1
"104",0.999936883095524,8.27044705457531e-05,4,1
"105",0.999914315807117,0.000112383283168885,4,1
"106",0.999949627738158,6.61495754375983e-05,4,1
"107",0.999930797060643,9.0727242746821e-05,4,1
"108",0.999954094751871,6.02187680714913e-05,4,1
"109",0.999939915678757,7.88344518582526e-05,4,1
"110",0.999921413337941,0.000103031368039403,4,1
"111",0.999941931777107,7.61178089143772e-05,4,1
"112",0.99993680278804,8.30440072182208e-05,4,1
"113",0.999934842804686,8.55236525048429e-05,4,1
"114",0.999926128112881,9.68156052701321e-05,4,1
"115",0.999913897479354,0.000113143811064547,4,1
"116",0.999927743713846,9.48632021123894e-05,4,1
"117",0.999902031563806,0.00012847919165562,4,1
"118",0.999915823217462,0.000110260483121247,4,1
"119",0.999946164715547,7.04875110803169e-05,4,1
"120",0.999922814534001,0.000101024715184856,4,1
"121",0.999944631982411,7.25995128833651e-05,4,1
"122",0.999931285673657,9.01115237065225e-05,4,1
"123",0.999925740084575,9.74600303148173e-05,4,1
"124",0.999961293680238,5.07279011186873e-05,4,1
"125",0.999958635996621,5.43827215732237e-05,4,1
"126",0.99993562540937,8.45749164755203e-05,4,1
"127",0.999908225955534,0.000120435997650521,4,1
"128",0.9999411831874,7.72549286806736e-05,4,1
"129",0.999956285695972,5.75177066951978e-05,4,1
"130",0.999913957716686,0.000112879376272759,4,1
"131",0.999959406838579,5.3350989535785e-05,4,1
"132",0.999946117232169,7.09398157879316e-05,4,1
"133",0.999968073600664,4.18577407920291e-05,4,1
"134",0.999920178412871,0.000104880088457162,4,1
"135",0.999956885034143,5.65825666963336e-05,4,1
"136",0.999957326288089,5.5957227976228e-05,4,1
"137",0.999961114840606,5.10007486645085e-05,4,1
"138",0.999933343709858,8.75020905893497e-05,4,1
"139",0.999937251515633,8.23400170451873e-05,4,1
"140",0.999940769638119,7.77102283388344e-05,4,1
"141",0.999933971021895,8.6476456782162e-05,4,1
"142",0.999945052368091,7.21274132117937e-05,4,1
"143",0.999942676725395,7.52862161224286e-05,4,1
"144",0.999967810362382,4.22371267144111e-05,4,1
"145",0.999885906134058,0.0001502014297758,4,1
"146",0.99992930066035,9.27993262189851e-05,4,1
"147",0.999942074228416,7.60511451759943e-05,4,1
"148",0.999952512354405,6.23137834331468e-05,4,1
"149",0.999907957523387,0.000121080775679804,4,1
"150",0.999927835283204,9.47457130325838e-05,4,1
"151",0.99983417532159,0.000218708679220441,4,1
"152",0.999946242087644,7.05368389487735e-05,4,1
"153",0.999944728670723,7.24985112478337e-05,4,1
"154",0.999930747471395,9.09354282987134e-05,4,1
"155",0.99990085222135,0.000130091998936729,4,1
"156",0.99988551451477,0.000150387615470613,4,1
"157",0.999966503142205,4.39315345567102e-05,4,1
"158",0.999949482640331,6.62577743419422e-05,4,1
"159",0.99996199138477,4.97895649428577e-05,4,1
"160",0.999954199481954,6.00576948987438e-05,4,1
"161",0.999962914369739,4.8648703252038e-05,4,1
"162",0.999912421721328,0.000114797527493656,4,1
"163",0.999895222743603,0.000137935016863748,4,1
"164",0.999919225729331,0.000106093122985513,4,1
"165",0.999898813470591,0.000132773689470106,4,1
"166",0.999935988502951,8.37914380695252e-05,4,1
"167",0.999924028534313,9.9627362809807e-05,4,1
"168",0.999953746506549,6.05416769795325e-05,4,1
"169",0.999947910009934,6.82801852295379e-05,4,1
"170",0.999928375262532,9.3692406326613e-05,4,1
"171",0.999896494161965,0.000135526019888787,4,1
"172",0.999977177407827,2.99447847736974e-05,4,1
"173",0.999957078551708,5.61730736485034e-05,4,1
"174",0.999957970877846,5.5116212908211e-05,4,1
"175",0.999955232743915,5.87678690841853e-05,4,1
"176",0.999942703332289,7.51154593887798e-05,4,1
"177",0.999942000030999,7.60918648452437e-05,4,1
"178",0.999953542112385,6.09491270991305e-05,4,1
"179",0.999929964143811,9.17996035593424e-05,4,1
"180",0.999947166699035,6.92024810978331e-05,4,1
"181",0.999936682771303,8.31886591499052e-05,4,1
"182",0.99993674865328,8.28153617037009e-05,4,1
"183",0.999947931517181,6.82074610040552e-05,4,1
"184",0.999910076064809,0.00011807860447707,4,1
"185",0.999937325146886,8.22281586932702e-05,4,1
"186",0.999932792528581,8.80659700674465e-05,4,1
"187",0.999934301281893,8.61523721993041e-05,4,1
"188",0.999975084389166,3.27020595539793e-05,4,1
"189",0.999962600791984,4.90367933868111e-05,4,1
"190",0.999959422501074,5.31682383376916e-05,4,1
"191",0.999946739962836,6.98929231918867e-05,4,1
"192",0.999884602514804,0.000150488218574249,4,1
"193",0.999954016844233,6.02195128494494e-05,4,1
"194",0.999954600898385,5.96251426844249e-05,4,1
"195",0.999917834835126,0.000108003344545868,4,1
"196",0.999944194279044,7.31127399427311e-05,4,1
"197",0.999949271473033,6.66096236274541e-05,4,1
"198",0.999927859902487,9.4662838276198e-05,4,1
"199",0.999965485369434,4.5224879668019e-05,4,1
"200",0.999953046550678,6.16291471501167e-05,4,1
"201",0.999771418708238,0.000409558339592481,5,1
"202",0.999783992762987,0.000386418521149127,5,1
"203",0.999753600628837,0.000440187049933591,5,1
"204",0.999790499040312,0.000374917077120963,5,1
"205",0.999740452290068,0.000463664417303567,5,1
"206",0.999797743205514,0.000362273954053247,5,1
"207",0.999760979693398,0.000426513544127367,5,1
"208",0.999746901433148,0.000452517996437496,5,1
"209",0.999759035681317,0.000432108509795775,5,1
"210",0.999783644807275,0.000387166653604515,5,1
"211",0.99976959037483,0.000412181889018246,5,1
"212",0.999769122570192,0.00041406247146517,5,1
"213",0.999775189455441,0.000402850990594705,5,1
"214",0.999769452442335,0.00041199219557479,5,1
"215",0.999712042029767,0.000517182582873807,5,1
"216",0.999756539405932,0.00043460504927924,5,1
"217",0.999710704368675,0.000518534403738503,5,1
"218",0.999753663057539,0.000441375865674062,5,1
"219",0.999718669816029,0.000502799553792339,5,1
"220",0.999687639283188,0.000559460344566788,5,1
"221",0.999785017387004,0.000385454835691642,5,1
"222",0.999734752602127,0.000473318501452269,5,1
"223",0.999700515881988,0.000535223048880416,5,1
"224",0.9997950113363,0.000366573738788339,5,1
"225",0.999745023162127,0.000456303387887982,5,1
"226",0.999732623425617,0.000477116316400382,5,1
"227",0.999741825352723,0.000461436915496659,5,1
"228",0.999790354917606,0.00037606393747988,5,1
"229",0.999787167481375,0.000381293074068353,5,1
"230",0.999745167667247,0.000456405120745073,5,1
"231",0.99976407190773,0.000422092327026432,5,1
"232",0.99982377458645,0.000315635037343167,5,1
"233",0.999798365909867,0.000361519543266559,5,1
"234",0.999732164507686,0.000479917433413293,5,1
"235",0.999775030021331,0.000402937275121104,5,1
"236",0.999824193237447,0.000314386601373925,5,1
"237",0.999754345060504,0.000438763037117135,5,1
"238",0.999776056029518,0.0004021653955634,5,1
"239",0.999781547792842,0.000391152732061217,5,1
"240",0.999793656811404,0.00036977733750383,5,1
"241",0.999786097816793,0.00038250400394963,5,1
"242",0.999779186722199,0.000394552664598418,5,1
"243",0.99976556760858,0.000419971945799763,5,1
"244",0.999821213543878,0.000320087127106914,5,1
"245",0.999696774588908,0.000544499445425907,5,1
"246",0.999750094459018,0.000446787316685235,5,1
"247",0.99976684972421,0.000417858563496525,5,1
"248",0.999830420068708,0.000303780721152807,5,1
"249",0.99971731149318,0.000505792829811613,5,1
"250",0.999768855430295,0.000414407399128412,5,1
"251",0.999676523364992,0.000580949880539456,5,1
"252",0.999776780337592,0.000399686484766837,5,1
"253",0.999788049984125,0.000378936009651388,5,1
"254",0.999810953565776,0.000338288533621619,5,1
"255",0.99973971034964,0.000466450684059274,5,1
"256",0.999723276001641,0.000495200264719101,5,1
"257",0.999808631626427,0.00034157706674622,5,1
"258",0.999750382883711,0.000447328322220168,5,1
"259",0.99981061947245,0.000338483350087952,5,1
"260",0.999784457754056,0.000384835008986843,5,1
"261",0.999786839215801,0.000381973881123773,5,1
"262",0.999756016480907,0.000436163862214401,5,1
"263",0.999747945373793,0.000452009571733653,5,1
"264",0.999734890212379,0.000475144577642772,5,1
"265",0.999707149380997,0.000523586611329518,5,1
"266",0.99975405842678,0.000439923468796074,5,1
"267",0.999741039952575,0.000464758459983702,5,1
"268",0.999728022099345,0.000486594981576703,5,1
"269",0.999779581904563,0.000393533670915205,5,1
"270",0.999770481662896,0.00041061085374745,5,1
"271",0.999736357690782,0.000469833260062628,5,1
"272",0.999768303862681,0.000414217711119243,5,1
"273",0.999770424992433,0.000409480237200647,5,1
"274",0.999797678371092,0.000361500633291475,5,1
"275",0.999783660888027,0.000387094369819188,5,1
"276",0.999779664405963,0.000394150726924224,5,1
"277",0.999777975352273,0.000395919744202889,5,1
"278",0.999793689881298,0.00036929870830256,5,1
"279",0.9997547883192,0.00044045916276024,5,1
"280",0.999800050258518,0.000356816890467895,5,1
"281",0.999769342198169,0.000412455842638822,5,1
"282",0.999730569459583,0.00048169456943395,5,1
"283",0.99976863432869,0.000413896367965542,5,1
"284",0.999703827925534,0.000530787585748881,5,1
"285",0.999789623026579,0.000376133461850813,5,1
"286",0.999768736491577,0.000413704034441733,5,1
"287",0.999787007879681,0.00038060772762156,5,1
"288",0.999773687940008,0.00040501229109704,5,1
"289",0.999819632090724,0.000322951529543887,5,1
"290",0.999750880211035,0.000446489978156921,5,1
"291",0.999706810001382,0.000524722593066555,5,1
"292",0.999679340468892,0.000571826815488312,5,1
"293",0.999756011919986,0.000437162688130294,5,1
"294",0.999806424034931,0.000346275838133224,5,1
"295",0.999752692326291,0.000443012322489287,5,1
"296",0.999761513466285,0.000426428071588208,5,1
"297",0.999746094634423,0.000454017074790169,5,1
"298",0.999755014731336,0.000438303639530135,5,1
"299",0.999813004825145,0.000334122203124864,5,1
"300",0.999786661619376,0.00038148533667698,5,1
"301",0.998962241411371,0.00248305165127719,6,1
"302",0.998994681844293,0.00241113699195553,6,1
"303",0.998789171242276,0.00289960212136451,6,1
"304",0.998995710857663,0.00239938737038045,6,1
"305",0.998946477084072,0.0025216155740235,6,1
"306",0.99889433567406,0.00264712993936061,6,1
"307",0.998930718392812,0.00256247652635334,6,1
"308",0.998793665157286,0.0028897100814444,6,1
"309",0.998964636345751,0.00248537278767479,6,1
"310",0.998973213837368,0.00246014929314868,6,1
"311",0.998860801743581,0.00272891102390234,6,1
"312",0.998899547844785,0.00263878235286893,6,1
"313",0.998905465845324,0.00262142994822914,6,1
"314",0.99892831907577,0.00256180736753229,6,1
"315",0.998814971196992,0.00284560331406286,6,1
"316",0.998782134474751,0.00292756694062466,6,1
"317",0.998948805373727,0.00251807713058485,6,1
"318",0.998872727316749,0.00270625568647269,6,1
"319",0.998946918196459,0.00251413079521948,6,1
"320",0.998817612067391,0.00283570198537888,6,1
"321",0.998934574439542,0.00254759428221898,6,1
"322",0.998792576637959,0.0028869555363374,6,1
"323",0.998869614042792,0.0027084673793645,6,1
"324",0.998887629572415,0.00266513692103017,6,1
"325",0.998872148613033,0.00270330283379461,6,1
"326",0.998972504395594,0.00245260567571474,6,1
"327",0.998929281709743,0.00256310041418339,6,1
"328",0.99888445872836,0.00267439820801144,6,1
"329",0.99890067472648,0.00263662585761507,6,1
"330",0.998899449766591,0.00263823577368979,6,1
"331",0.998829616089121,0.00281008742122579,6,1
"332",0.998970659425173,0.00246380195103709,6,1
"333",0.998974144803626,0.00245970280616035,6,1
"334",0.99884349424926,0.00276347315771792,6,1
"335",0.998847795486031,0.00276626743195748,6,1
"336",0.998977997192646,0.00245145068551347,6,1
"337",0.998843206077042,0.0027770430796594,6,1
"338",0.998942884224019,0.00253840954131763,6,1
"339",0.998905693983862,0.00261890623076849,6,1
"340",0.998938109690795,0.0025477530968705,6,1
"341",0.998978022941056,0.00243845384158559,6,1
"342",0.998911432653533,0.00260740148291964,6,1
