"","H","C","D","tau"
"1",0.999957021471262,4.25248725029238e-05,3,1
"2",0.999991137314315,8.74538185627049e-06,3,1
"3",0.999992699348736,7.21248200555125e-06,3,1
"4",0.999995882522049,4.06508670488075e-06,3,1
"5",0.99999741487456,2.55032062815532e-06,3,1
"6",0.999991130034817,8.7555000646749e-06,3,1
"7",0.999975191423114,2.44603646909361e-05,3,1
"8",0.999985526306496,1.42644330297787e-05,3,1
"9",0.999989328234259,1.05263320235815e-05,3,1
"10",0.999984420240316,1.53669210988116e-05,3,1
"11",0.999984152388197,1.5641768236999e-05,3,1
"12",0.999991639498533,8.2611442972242e-06,3,1
"13",0.999972878922815,2.67603805221978e-05,3,1
"14",0.999968157087743,3.14568842945383e-05,3,1
"15",0.999988645534088,1.1207726122659e-05,3,1
"16",0.999987481357328,1.2349335773022e-05,3,1
"17",0.99999066490491,9.2100206241088e-06,3,1
"18",0.999966359480735,3.31705621471774e-05,3,1
"19",0.999993058528933,6.84999930997099e-06,3,1
"20",0.99999398143091,5.93994310451508e-06,3,1
"21",0.999977348217459,2.23849596768863e-05,3,1
"22",0.999994348691507,5.57608853346084e-06,3,1
"23",0.999969212237905,3.03702390493486e-05,3,1
"24",0.99991660214861,8.2446295512513e-05,3,1
"25",0.999986082872739,1.37135664020457e-05,3,1
"26",0.999953740781013,4.56613782649292e-05,3,1
"27",0.999989632157153,1.02403842447422e-05,3,1
"28",0.999994642238271,5.28631860002439e-06,3,1
"29",0.999979047386847,2.06714535775526e-05,3,1
"30",0.999984715409097,1.50787100096213e-05,3,1
"31",0.999990364848169,9.50546213971862e-06,3,1
"32",0.999991784343621,8.10554566053646e-06,3,1
"33",0.999985829480302,1.39808603202531e-05,3,1
"34",0.999973340494148,2.62834506517862e-05,3,1
"35",0.999983831985101,1.59290541097941e-05,3,1
"36",0.999961113809004,3.83691812966703e-05,3,1
"37",0.999953067044202,4.62240122276837e-05,3,1
"38",0.999992078858745,7.8196328231473e-06,3,1
