"","H","C","D","tau"
"1",0.999989802815705,1.00604662174438e-05,3,1
"2",0.999984665441022,1.51368304398659e-05,3,1
"3",0.999976273715099,2.34129147751055e-05,3,1
"4",0.999996583188463,3.37162715382504e-06,3,1
"5",0.999985205873002,1.4618453067252e-05,3,1
"6",0.999988788828071,1.1061721989965e-05,3,1
"7",0.999982292876268,1.7471565409678e-05,3,1
"8",0.999966094084079,3.34801578615318e-05,3,1
"9",0.999985602346105,1.41875724034634e-05,3,1
"10",0.999976738269571,2.29176780676664e-05,3,1
"11",0.999980187933067,1.95443695531915e-05,3,1
"12",0.999985874082134,1.39445879364428e-05,3,1
"13",0.999966421524746,3.31143390070668e-05,3,1
"14",0.999991611204633,8.27392705685153e-06,3,1
"15",0.999965845019365,3.3762335302672e-05,3,1
"16",0.999994708605083,5.2231136658464e-06,3,1
"17",0.999990919572546,8.96260189865206e-06,3,1
"18",0.99996601009528,3.35449171779868e-05,3,1
"19",0.999983928191979,1.58500621473724e-05,3,1
"20",0.999983005535686,1.67636668799694e-05,3,1
"21",0.999982069151021,1.76936486005479e-05,3,1
"22",0.999981901581452,1.78597636371405e-05,3,1
"23",0.99998523419377,1.45712050079556e-05,3,1
"24",0.999984511466455,1.52603497433939e-05,3,1
"25",0.999975262871452,2.44074758677724e-05,3,1
"26",0.999979024719038,2.07103307682493e-05,3,1
"27",0.999995304476252,4.63321915086703e-06,3,1
"28",0.999993696368957,6.22840353511616e-06,3,1
"29",0.99999133288498,8.54447372589712e-06,3,1
"30",0.99998823463821,1.16064272898597e-05,3,1
"31",0.999936596028029,6.25672937026447e-05,3,1
"32",0.999990279104726,9.60795686024754e-06,3,1
"33",0.999963894816843,3.56456153627891e-05,3,1
"34",0.999943289675417,5.59865308723133e-05,3,1
"35",0.99994329929849,5.59300335226557e-05,3,1
"36",0.999962763390187,3.67724196807455e-05,3,1
"37",0.999987327968569,1.25142773441778e-05,3,1
"38",0.999980652717006,1.9102255919807e-05,3,1
"39",0.999953646101463,4.58011274766743e-05,3,1
"40",0.999963712422539,3.57832810474954e-05,3,1
"41",0.999983869921859,1.59396411863152e-05,3,1
"42",0.99995407669323,4.53228437133939e-05,3,1
"43",0.999985636764305,1.41921344222214e-05,3,1
"44",0.999983232040674,1.6542078464966e-05,3,1
"45",0.99998346379095,1.62903160103531e-05,3,1
"46",0.999968028849595,3.15349300584175e-05,3,1
"47",0.99998750676817,1.23249601634226e-05,3,1
"48",0.99997146837254,2.81549227691191e-05,3,1
"49",0.999990528882302,9.34658707635933e-06,3,1
"50",0.999997179674698,2.78346743835677e-06,3,1
"51",0.999987445594437,1.23956935773756e-05,3,1
"52",0.999992085705875,7.81015488453188e-06,3,1
"53",0.999971188920107,2.84350683015049e-05,3,1
"54",0.999997787452384,2.18454270464729e-06,3,1
"55",0.999975780118153,2.39240758660055e-05,3,1
"56",0.999980409783836,1.93290298004441e-05,3,1
"57",0.999977388003522,2.22771711325259e-05,3,1
"58",0.999992017771254,7.87634678108456e-06,3,1
"59",0.999995671466372,4.2710874280044e-06,3,1
"60",0.999986007885569,1.37934726695387e-05,3,1
"61",0.999987547733721,1.22887601152398e-05,3,1
"62",0.99997440097481,2.53026777500173e-05,3,1
"63",0.999979848822412,1.98870208885417e-05,3,1
"64",0.999984324224666,1.54667308002491e-05,3,1
"65",0.999966744139335,3.28047135560582e-05,3,1
"66",0.999971944137495,2.76854222378124e-05,3,1
"67",0.999994327768457,5.59714708113605e-06,3,1
"68",0.999992559104827,7.35133737869879e-06,3,1
"69",0.999987402722425,1.24300353083111e-05,3,1
"70",0.999983368564772,1.64034477056377e-05,3,1
"71",0.999994934137729,5.00229624722495e-06,3,1
"72",0.999991127850598,8.75542920716983e-06,3,1
"73",0.99999346351081,6.4521226184219e-06,3,1
"74",0.99996474295677,3.47767430676435e-05,3,1
"75",0.999949246234439,5.02247800372213e-05,3,1
"76",0.999983467840352,1.63199693901849e-05,3,1
"77",0.999983130277769,1.6649770800277e-05,3,1
"78",0.999959002645805,4.04525748041847e-05,3,1
"79",0.99996680032127,3.27479196156316e-05,3,1
"80",0.999947677884838,5.16222315145999e-05,3,1
"81",0.999983804396035,1.59830419291867e-05,3,1
"82",0.999981386241632,1.83634728679e-05,3,1
"83",0.999976765325889,2.29317769691436e-05,3,1
"84",0.999985615497538,1.41846014990959e-05,3,1
"85",0.999980028698009,1.97080468394102e-05,3,1
"86",0.999984415013055,1.53759727881013e-05,3,1
"87",0.999996098674943,3.84955883129817e-06,3,1
"88",0.99997867451377,2.10429718871771e-05,3,1
"89",0.999987157574758,1.26693181030809e-05,3,1
