"","H","C","D","tau"
"1",0.999981789262605,1.79652053952291e-05,3,1
"2",0.999974151134709,2.55343069530745e-05,3,1
"3",0.999982166564793,1.76202566897514e-05,3,1
"4",0.999979585879636,2.0123616402709e-05,3,1
"5",0.999987555924258,1.22945074782788e-05,3,1
"6",0.9999758895704,2.38249681172259e-05,3,1
"7",0.999970014566904,2.95916858392294e-05,3,1
"8",0.999978284460295,2.143855563243e-05,3,1
"9",0.999955663503427,4.37150011237228e-05,3,1
"10",0.999974940811853,2.47295454282364e-05,3,1
"11",0.999991734327751,8.14523385965271e-06,3,1
"12",0.999993445942593,6.47085588557692e-06,3,1
"13",0.999967581015106,3.20247972859356e-05,3,1
"14",0.999948261993849,5.11838053046978e-05,3,1
"15",0.999997627988233,2.34127356763644e-06,3,1
"16",0.999996804242737,3.1541311613362e-06,3,1
"17",0.999992202108285,7.69800597904365e-06,3,1
"18",0.999990689400235,9.1882958486902e-06,3,1
"19",0.999988709241701,1.11392105458677e-05,3,1
"20",0.999985511256888,1.42873438746783e-05,3,1
"21",0.999961099911114,3.83635758925084e-05,3,1
"22",0.999977390885918,2.23184694632419e-05,3,1
"23",0.999981978773011,1.77951090806815e-05,3,1
"24",0.999981318413431,1.84381282397544e-05,3,1
"25",0.999996429129766,3.52366178943815e-06,3,1
"26",0.999981193516887,1.855949470224e-05,3,1
"27",0.999999393357084,5.98569617268522e-07,3,1
"28",0.99998960051914,1.02773180810321e-05,3,1
"29",0.999980998595403,1.87370236654744e-05,3,1
"30",0.999993992572081,5.92807612002342e-06,3,1
"31",0.999976267721106,2.345160361449e-05,3,1
"32",0.999995341100378,4.59883502502033e-06,3,1
"33",0.999988539072608,1.12966061841873e-05,3,1
"34",0.999971136472261,2.84566395810648e-05,3,1
"35",0.999930099649512,6.902662343289e-05,3,1
"36",0.999958788043684,4.06321531296389e-05,3,1
"37",0.999972778746791,2.68419505320762e-05,3,1
"38",0.999962509072551,3.70318886428976e-05,3,1
"39",0.999974138047002,2.54731344445233e-05,3,1
"40",0.999946315201975,5.30221302697737e-05,3,1
"41",0.999993542999739,6.36751617584368e-06,3,1
"42",0.999965250038798,3.42457099655798e-05,3,1
"43",0.999992792847219,7.11174264607863e-06,3,1
"44",0.999986191422893,1.36368020755402e-05,3,1
"45",0.9999643548041,3.51483912322129e-05,3,1
"46",0.999965254648269,3.42875979929003e-05,3,1
"47",0.999981910755084,1.78567772106656e-05,3,1
"48",0.999956398045814,4.30806001855651e-05,3,1
"49",0.999973200281298,2.64301759733414e-05,3,1
"50",0.999992600521612,7.29993086280194e-06,3,1
"51",0.999990538232321,9.33673608087624e-06,3,1
"52",0.999964236097316,3.53646293193063e-05,3,1
"53",0.999966042919015,3.35161834949723e-05,3,1
"54",0.999989527097477,1.03436720862115e-05,3,1
"55",0.999968789838216,3.08098096364043e-05,3,1
"56",0.999993191615757,6.71777685177781e-06,3,1
"57",0.999944764367268,5.45160705923095e-05,3,1
"58",0.999975062116538,2.46055011593559e-05,3,1
"59",0.999967229632451,3.23457864557573e-05,3,1
"60",0.999987423443862,1.24324713103162e-05,3,1
"61",0.999984671016532,1.51239252890344e-05,3,1
"62",0.999960941167732,3.85706598712747e-05,3,1
"63",0.999995405673774,4.53497723453172e-06,3,1
"64",0.999979013213854,2.07002503979746e-05,3,1
"65",0.999985473093086,1.43464885866823e-05,3,1
"66",0.999984638830124,1.51610041855283e-05,3,1
"67",0.999987843909544,1.19944409327296e-05,3,1
"68",0.999991397004677,8.49184613572378e-06,3,1
"69",0.999982341388122,1.74116727347951e-05,3,1
"70",0.999988257159592,1.15988910768935e-05,3,1
"71",0.999980280635011,1.94567152531744e-05,3,1
