"","H","C","D","tau"
"1",0.999988007998371,1.1840787302311e-05,3,1
"2",0.99999624017891,3.71082156578852e-06,3,1
"3",0.999980599148111,1.91280394791942e-05,3,1
"4",0.999976818686079,2.28699713881854e-05,3,1
"5",0.999976774221578,2.29370858644893e-05,3,1
"6",0.999988717101016,1.11315526683401e-05,3,1
"7",0.999988438500352,1.14137212195109e-05,3,1
"8",0.999994183202967,5.74239806116766e-06,3,1
"9",0.99997808012891,2.16385925543157e-05,3,1
"10",0.999995418226217,4.52168358200514e-06,3,1
"11",0.999974717617525,2.49581414341487e-05,3,1
"12",0.999972306052757,2.73163340160525e-05,3,1
"13",0.999990281257441,9.58623623117578e-06,3,1
"14",0.999981594973147,1.81854316671651e-05,3,1
"15",0.999969589819545,2.99944268447483e-05,3,1
"16",0.999961779647364,3.77678087557367e-05,3,1
"17",0.999985239816445,1.45682060069374e-05,3,1
"18",0.999985804507958,1.40132182059939e-05,3,1
"19",0.999986145636606,1.36734953263683e-05,3,1
"20",0.999995972648202,3.97596392591291e-06,3,1
"21",0.999999631648701,3.63488881458618e-07,3,1
"22",0.999996034161613,3.91266989079943e-06,3,1
"23",0.999976128663715,2.35344706140737e-05,3,1
"24",0.999990101427453,9.7691349927997e-06,3,1
"25",0.999994050459479,5.87147366899189e-06,3,1
"26",0.999977269980785,2.24319639053922e-05,3,1
"27",0.99997611128467,2.35826336464265e-05,3,1
"28",0.999989821363986,1.00389505242715e-05,3,1
"29",0.999994980256088,4.95517605817446e-06,3,1
"30",0.999992011698677,7.88534185397006e-06,3,1
"31",0.999998302804205,1.67483986507499e-06,3,1
"32",0.999952722013927,4.66472669797343e-05,3,1
"33",0.999997306864321,2.65732487505439e-06,3,1
"34",0.99998688816743,1.29339328394727e-05,3,1
"35",0.99999613292079,3.81605083826646e-06,3,1
"36",0.999972578100443,2.70517386417434e-05,3,1
"37",0.999979930355672,1.98026762375351e-05,3,1
"38",0.999969904262102,2.96935957573134e-05,3,1
"39",0.999994113496884,5.80592690415433e-06,3,1
"40",0.999992609145742,7.29708505812025e-06,3,1
"41",0.999949579802048,4.97759969460495e-05,3,1
"42",0.999992897944721,7.00905144964603e-06,3,1
"43",0.999974511857953,2.51556118578014e-05,3,1
"44",0.999998594917885,1.38718936188771e-06,3,1
"45",0.999995942404646,4.00486790568454e-06,3,1
"46",0.999942324178263,5.69330047945594e-05,3,1
"47",0.999993919951074,6.00186706915343e-06,3,1
"48",0.999946545274285,5.26907513142371e-05,3,1
"49",0.999995718990713,4.22585779042779e-06,3,1
"50",0.999990790086925,9.08949448666554e-06,3,1
"51",0.999990234145817,9.64805816490679e-06,3,1
"52",0.99999267958559,7.22586559498623e-06,3,1
"53",0.999992566337202,7.33665395842613e-06,3,1
"54",0.999976424424082,2.32552511360662e-05,3,1
"55",0.999946380370532,5.29252167077021e-05,3,1
"56",0.999989589293367,1.02760601184374e-05,3,1
"57",0.999989532419281,1.03285110261115e-05,3,1
"58",0.999987279214369,1.25573535713129e-05,3,1
"59",0.999989306535982,1.05412837919015e-05,3,1
"60",0.99992426179358,7.47377404851465e-05,3,1
"61",0.999992358972358,7.54247510078479e-06,3,1
"62",0.999988513393381,1.13187598319873e-05,3,1
"63",0.999987843670479,1.19974461927626e-05,3,1
"64",0.999986330902636,1.34924820197219e-05,3,1
"65",0.999986726589968,1.31023753463134e-05,3,1
"66",0.999943353061181,5.58872672417641e-05,3,1
"67",0.99996091530226,3.85600473474748e-05,3,1
"68",0.999970770281285,2.88142759428739e-05,3,1
"69",0.999962896636175,3.66165960913775e-05,3,1
"70",0.999960436007937,3.8957819758165e-05,3,1
"71",0.999975110519744,2.45220854303395e-05,3,1
"72",0.999980631861992,1.91126291761773e-05,3,1
"73",0.999997758481139,2.21156362007995e-06,3,1
"74",0.999971490613832,2.81180767630479e-05,3,1
"75",0.999964711090094,3.48590495317172e-05,3,1
"76",0.999978006506383,2.17072235610297e-05,3,1
"77",0.999971016596614,2.85779090528511e-05,3,1
"78",0.99999948415004,5.09118476915553e-07,3,1
"79",0.999941874072655,5.71950480001983e-05,3,1
"80",0.999981309027958,1.84539818833112e-05,3,1
"81",0.999984030374714,1.57708315787192e-05,3,1
"82",0.99999154199906,8.34860910589732e-06,3,1
"83",0.999984259856982,1.55415252445311e-05,3,1
"84",0.999978140647118,2.15780721450891e-05,3,1
"85",0.999997076612143,2.88579224911003e-06,3,1
"86",0.999995728775854,4.21599884672387e-06,3,1
"87",0.999990570846072,9.31423798195521e-06,3,1
"88",0.999988511266008,1.13311283059622e-05,3,1
"89",0.99997434080127,2.53473547690715e-05,3,1
"90",0.999977656934996,2.20508313231596e-05,3,1
"91",0.999991104530554,8.77937077902342e-06,3,1
"92",0.999988936177789,1.09209324376842e-05,3,1
"93",0.999974786148116,2.4876535997096e-05,3,1
"94",0.999992451886112,7.44526185087685e-06,3,1
"95",0.999979359664034,2.03724674718783e-05,3,1
"96",0.999994745012065,5.1857434791613e-06,3,1
"97",0.999997042687715,2.91750240341454e-06,3,1
"98",0.999994353358472,5.57182396532575e-06,3,1
"99",0.999985860149583,1.39559585568159e-05,3,1
"100",0.999988729561191,1.11196977566227e-05,3,1
"101",0.999948994724859,6.69204640513998e-05,4,1
"102",0.999945232192817,7.1802964798468e-05,4,1
"103",0.999954912190398,5.91341852350309e-05,4,1
"104",0.999947744247202,6.84526200567673e-05,4,1
"105",0.999928673498945,9.36795275521219e-05,4,1
"106",0.999935054461238,8.51810214571102e-05,4,1
"107",0.999926601388225,9.61321312922396e-05,4,1
"108",0.999955096403873,5.89307422611157e-05,4,1
"109",0.999922924196829,0.000101195859274285,4,1
"110",0.999975670047126,3.19377686091757e-05,4,1
"111",0.999924663210424,9.85685975915839e-05,4,1
"112",0.999922352206536,0.000102038392848813,4,1
"113",0.99995643500502,5.71106749000225e-05,4,1
"114",0.999929844784784,9.21710265945762e-05,4,1
"115",0.999916979943544,0.000108907183069376,4,1
"116",0.999888004942953,0.00014662031128305,4,1
"117",0.999945982819733,7.08595510917369e-05,4,1
"118",0.999958641236361,5.42469292604208e-05,4,1
"119",0.999958076339388,5.48436725334928e-05,4,1
"120",0.999926954115015,9.57530185574581e-05,4,1
"121",0.999967602109711,4.2551727770193e-05,4,1
"122",0.999971726725472,3.71131890328451e-05,4,1
"123",0.999942127894955,7.59371693631427e-05,4,1
"124",0.999950390163632,6.51058959061817e-05,4,1
"125",0.999953914516405,6.04639291667713e-05,4,1
"126",0.99988431155091,0.000152014669247129,4,1
"127",0.999930871968196,9.07835879403533e-05,4,1
"128",0.999961015404115,5.11326280702096e-05,4,1
"129",0.999948225328886,6.77826329634398e-05,4,1
"130",0.999910008897073,0.00011809287249203,4,1
"131",0.999901450124017,0.000129041312664464,4,1
"132",0.99990111487223,0.000129894363286133,4,1
"133",0.999955469347725,5.84076616273014e-05,4,1
"134",0.999878589368729,0.000159498083539325,4,1
"135",0.999937303003226,8.21754561764859e-05,4,1
"136",0.999939940385459,7.87030408045071e-05,4,1
"137",0.999944496844838,7.28222805615914e-05,4,1
"138",0.999920202100598,0.000104557072828161,4,1
"139",0.999972329791879,3.62751739778602e-05,4,1
"140",0.999943986699437,7.34163862855018e-05,4,1
"141",0.999923800498805,0.00010011985462602,4,1
"142",0.999868042327023,0.000173545590467649,4,1
"143",0.999923728281486,9.99713382365458e-05,4,1
"144",0.999961612661784,5.04020339700915e-05,4,1
"145",0.999964848906147,4.61243485481346e-05,4,1
"146",0.999919148648784,0.000106078209432521,4,1
"147",0.99993836729177,8.06587820344218e-05,4,1
"148",0.999918637568941,0.000106741685719476,4,1
"149",0.999962951209175,4.85051014654141e-05,4,1
"150",0.999973145017457,3.52616892063132e-05,4,1
"151",0.999945247508994,7.19577658521569e-05,4,1
"152",0.999922549553473,0.00010159053981655,4,1
"153",0.999961682906927,5.02931919347929e-05,4,1
"154",0.999940654945507,7.7842514514119e-05,4,1
"155",0.999905927360114,0.000123297797997717,4,1
"156",0.999938288038995,8.12204196839216e-05,4,1
"157",0.9999392447544,7.96448857491872e-05,4,1
"158",0.999946809901332,6.9850352370374e-05,4,1
"159",0.999960590528041,5.17051012065477e-05,4,1
"160",0.99986241991958,0.000180751887623058,4,1
"161",0.999935128596808,8.50891607610752e-05,4,1
"162",0.999926727884171,9.60709667192574e-05,4,1
"163",0.999956924017365,5.64034996182453e-05,4,1
"164",0.999948829315948,6.7176688488284e-05,4,1
"165",0.999961236650683,5.09098186505806e-05,4,1
"166",0.999901520482868,0.000129153792757815,4,1
"167",0.999904966775657,0.000124771811085503,4,1
"168",0.999953225730144,6.12076119419786e-05,4,1
"169",0.999927144121443,9.543013836535e-05,4,1
"170",0.999897649720268,0.000133922132820706,4,1
"171",0.999901332470586,0.000129294432433114,4,1
"172",0.999948840629949,6.71560418520668e-05,4,1
"173",0.999952843965803,6.18787368220898e-05,4,1
"174",0.999918669490694,0.000106436963172422,4,1
"175",0.999881648661694,0.000156218826844836,4,1
"176",0.999940622174693,7.78951743882465e-05,4,1
"177",0.999932311640141,8.87567376957221e-05,4,1
"178",0.99992917954074,9.28163764606412e-05,4,1
"179",0.999879923759518,0.000157163361939701,4,1
"180",0.999957680303666,5.56025848318561e-05,4,1
"181",0.999939741031827,7.91238113825879e-05,4,1
"182",0.999949872225293,6.58019251315333e-05,4,1
"183",0.999935426260125,8.48486434138441e-05,4,1
"184",0.999947596005416,6.87869771159574e-05,4,1
"185",0.999975919844821,3.16049239824968e-05,4,1
"186",0.999942304651571,7.5782420245274e-05,4,1
"187",0.999951741866874,6.30669948960188e-05,4,1
"188",0.99994613791783,7.05579725330614e-05,4,1
"189",0.999906485402826,0.000122889146477944,4,1
"190",0.999957786224991,5.53665345501332e-05,4,1
"191",0.999966320242572,4.41526076523474e-05,4,1
"192",0.999944083021249,7.33165847140621e-05,4,1
"193",0.999928988946317,9.33968842191917e-05,4,1
"194",0.999912485045526,0.000114765376678425,4,1
"195",0.999917170164354,0.00010889130130988,4,1
"196",0.999949934133057,6.57793190321935e-05,4,1
"197",0.999959016701286,5.37501802389629e-05,4,1
"198",0.999945092121961,7.22064295911609e-05,4,1
"199",0.999957162120288,5.6313395504098e-05,4,1
"200",0.999957210808396,5.61006606797725e-05,4,1
"201",0.999753049722164,0.000441865413554169,5,1
"202",0.999795997662767,0.000365293150945745,5,1
"203",0.999793390136359,0.000369390433212889,5,1
"204",0.999803223104241,0.000352054673946067,5,1
"205",0.999767180187604,0.000416867857895244,5,1
"206",0.999763359671841,0.000422792436475171,5,1
"207",0.999753206380194,0.000441307955822824,5,1
"208",0.999793195066863,0.000369760705861853,5,1
"209",0.99972063151813,0.000499654893969406,5,1
"210",0.999830162468252,0.000304443707389751,5,1
"211",0.999704394025357,0.000528118340264011,5,1
"212",0.999752993663433,0.000442628111278594,5,1
"213",0.99978758937458,0.000379824015768612,5,1
"214",0.999759035829897,0.000432917725199348,5,1
"215",0.999761503758786,0.000426647562971827,5,1
"216",0.999702527240864,0.000529767733889077,5,1
"217",0.999808230710775,0.000342795874334314,5,1
"218",0.999773130298656,0.000405137326396912,5,1
"219",0.999785236969121,0.00038399424509262,5,1
"220",0.999739440450908,0.000464869455410127,5,1
"221",0.999809437797168,0.000340556915727479,5,1
"222",0.999796369847639,0.000364652264569053,5,1
"223",0.999739919436326,0.000465595655926074,5,1
"224",0.999816415164746,0.000328222639783205,5,1
"225",0.999776423949029,0.000401028726333849,5,1
"226",0.999725943635726,0.000491284132513596,5,1
"227",0.999774859719809,0.000401574917068984,5,1
"228",0.999779119337625,0.00039675537203306,5,1
"229",0.999758156222763,0.000432915680907571,5,1
"230",0.99970116572309,0.000534098115798071,5,1
"231",0.999738147564695,0.000467767736348564,5,1
"232",0.999756548303177,0.000435952316911113,5,1
"233",0.999756403348212,0.00043569350292812,5,1
"234",0.999711373340068,0.000515830643705863,5,1
"235",0.999765837990421,0.000418000528277045,5,1
"236",0.999759106443214,0.000431833181413705,5,1
"237",0.999766663005736,0.000418060663338199,5,1
"238",0.999723256024956,0.000495501956755328,5,1
"239",0.999799223748538,0.000358870090273332,5,1
"240",0.999806544609144,0.000346205660066542,5,1
"241",0.999700012610682,0.000535729482758844,5,1
"242",0.999657730177441,0.000613170436755728,5,1
"243",0.999714632367034,0.000509295837954239,5,1
"244",0.999803070516508,0.000353435746636772,5,1
"245",0.999827747853626,0.000307427612714264,5,1
"246",0.999718459695259,0.000504656078341738,5,1
"247",0.999786237906726,0.000382281243390976,5,1
"248",0.999707655274686,0.000523415868596612,5,1
"249",0.999806418885857,0.000345789034470757,5,1
"250",0.999817459202832,0.000326702602724629,5,1
"251",0.999790969388669,0.000374663173424463,5,1
"252",0.999745639862742,0.000456166191841645,5,1
"253",0.999829797861353,0.000305086115326097,5,1
"254",0.999733073268621,0.000476707590906296,5,1
"255",0.99972576657057,0.000490062871490484,5,1
"256",0.99972728286419,0.000488040216785525,5,1
"257",0.999770273970828,0.000411091414683468,5,1
"258",0.999800995220329,0.000356818343985177,5,1
"259",0.999750584678282,0.000446374681228813,5,1
"260",0.999672785008435,0.000586773817908746,5,1
"261",0.999735552122732,0.000473194176522925,5,1
"262",0.999733495667872,0.000474237532159461,5,1
"263",0.99974040047231,0.000464278972090173,5,1
"264",0.999770097622183,0.000410840766672186,5,1
"265",0.999782062145912,0.000390106761289736,5,1
"266",0.999771398400625,0.000409496120485052,5,1
"267",0.999768928417366,0.000413505632809026,5,1
"268",0.999827479221036,0.000307163778440396,5,1
"269",0.999735635834338,0.000473137535176737,5,1
"270",0.999703948147247,0.000527270292674356,5,1
"271",0.999756105615949,0.00043624887857627,5,1
"272",0.999742182569843,0.000461001453790384,5,1
"273",0.999811448488854,0.000337239041859165,5,1
"274",0.999779339892778,0.000393899027705636,5,1
"275",0.999603824935648,0.00070842133447762,5,1
"276",0.999748123807901,0.000452065195528262,5,1
"277",0.999772129440373,0.000407353074506562,5,1
"278",0.999752287552142,0.000441952632856935,5,1
"279",0.999691328343008,0.000551431466341548,5,1
"280",0.9997982028849,0.000361094214448927,5,1
"281",0.999778403345152,0.000396279280290572,5,1
"282",0.999798065383736,0.000361925567547594,5,1
"283",0.999747392552927,0.000451318822775603,5,1
"284",0.999749713163906,0.000446819181371577,5,1
"285",0.999848801804243,0.000270667063769551,5,1
"286",0.999807595792661,0.000344114486359212,5,1
"287",0.99970454828993,0.000527731022932291,5,1
"288",0.999792042140519,0.00037176148133951,5,1
"289",0.999678504151722,0.000575085091345459,5,1
"290",0.99980470823299,0.000350216197080605,5,1
"291",0.999772994443156,0.000406801043896723,5,1
"292",0.9997303330161,0.00048244489062824,5,1
"293",0.999757181412944,0.000434665428659895,5,1
"294",0.999730804370167,0.000481435419299004,5,1
"295",0.999745645291815,0.000454515146383568,5,1
