"","H","C","D","tau"
"1",0.999972250400313,2.73741621917859e-05,3,1
"2",0.999945168370648,5.40762669574738e-05,3,1
"3",0.999944429083269,5.4842781705495e-05,3,1
"4",0.999995005538451,4.93097153588466e-06,3,1
"5",0.999995810885056,4.13411190295719e-06,3,1
"6",0.999959379859983,4.01907379417134e-05,3,1
"7",0.999968020759021,3.15680498721855e-05,3,1
"8",0.999952151411318,4.71997133050085e-05,3,1
"9",0.999981973235308,1.77880804464908e-05,3,1
"10",0.999975519329752,2.41779318205052e-05,3,1
"11",0.999949574257671,4.97400515036961e-05,3,1
"12",0.999975563563468,2.41250658446628e-05,3,1
"13",0.999989807841823,1.00569932885472e-05,3,1
"14",0.999932722857234,6.65150751738902e-05,3,1
"15",0.99994954038619,4.97861350399122e-05,3,1
"16",0.999965514518144,3.40015088652596e-05,3,1
"17",0.9999839607505,1.58144174535306e-05,3,1
"18",0.999990600715792,9.2733087704891e-06,3,1
"19",0.999998991787201,9.95367210162485e-07,3,1
"20",0.999950530648191,4.88152716297391e-05,3,1
"21",0.999992987778388,6.9183761194481e-06,3,1
"22",0.999974073577292,2.55770233624686e-05,3,1
"23",0.9999889096764,1.09449545032259e-05,3,1
"24",0.999991214624709,8.67589804059066e-06,3,1
"25",0.999970358520078,2.92677336191007e-05,3,1
"26",0.999988138784728,1.17106407078895e-05,3,1
"27",0.999967525623926,3.20464254185619e-05,3,1
"28",0.999976378633438,2.33032168267262e-05,3,1
"29",0.999965977447307,3.35959636436777e-05,3,1
"30",0.999985564587697,1.42427503736497e-05,3,1
"31",0.99999591956705,4.0274362785825e-06,3,1
"32",0.999991054215255,8.82081369866736e-06,3,1
"33",0.999972093726423,2.75850343353424e-05,3,1
"34",0.999987340988167,1.24778356011297e-05,3,1
"35",0.999992570219959,7.33619766688112e-06,3,1
"36",0.999997468086479,2.49799137695314e-06,3,1
"37",0.999994504855523,5.4229209501844e-06,3,1
"38",0.9999921389646,7.76040293211794e-06,3,1
"39",0.999996114623296,3.83652927930631e-06,3,1
"40",0.999987217136181,1.26155131776364e-05,3,1
"41",0.999995598138215,4.34394015840809e-06,3,1
"42",0.99997246307116,2.71697058147745e-05,3,1
"43",0.999992034131493,7.85676142557588e-06,3,1
"44",0.999993690899102,6.22789675721526e-06,3,1
"45",0.99999271689799,7.18649435996525e-06,3,1
"46",0.999972676528956,2.69641465458238e-05,3,1
"47",0.999988748473417,1.11069188809796e-05,3,1
"48",0.999985810825761,1.40131282090652e-05,3,1
"49",0.999987866775195,1.19678665960807e-05,3,1
"50",0.999975954766747,2.37303810782529e-05,3,1
"51",0.999950841082147,4.84803483125384e-05,3,1
"52",0.999989941422887,9.92534753800143e-06,3,1
"53",0.999949122182757,5.00936683343069e-05,3,1
"54",0.999998016767585,1.95680062854865e-06,3,1
"55",0.999993585987118,6.33163881606042e-06,3,1
"56",0.999957633084142,4.18471878214347e-05,3,1
"57",0.999988558546581,1.12770327234004e-05,3,1
"58",0.999982082705673,1.76782408120357e-05,3,1
"59",0.999994804985315,5.12869497683188e-06,3,1
"60",0.999980890755715,1.8859625943977e-05,3,1
"61",0.999986598536791,1.322187843689e-05,3,1
"62",0.999998014091687,1.96010054903301e-06,3,1
"63",0.999993242996373,6.65957769781947e-06,3,1
"64",0.999958913419988,4.05443472301356e-05,3,1
"65",0.999991480644527,8.4024119601526e-06,3,1
"66",0.999947217644468,5.21070648096851e-05,3,1
"67",0.99997056396924,2.90422056124612e-05,3,1
"68",0.999992908799117,6.99628819163742e-06,3,1
"69",0.999991805972988,8.08476907803293e-06,3,1
"70",0.999995896115246,4.04827064564162e-06,3,1
"71",0.999998888662728,1.09646218515042e-06,3,1
"72",0.999983106295049,1.66793238523466e-05,3,1
"73",0.999982514575132,1.72511523823902e-05,3,1
"74",0.99998996824713,9.90613789866094e-06,3,1
"75",0.999997018759091,2.94102556185522e-06,3,1
"76",0.999945899642253,5.34215381427249e-05,3,1
"77",0.999994894348493,5.03607228252876e-06,3,1
"78",0.999993952530871,5.96752028650377e-06,3,1
"79",0.999988604196106,1.1247771177644e-05,3,1
"80",0.999990393272413,9.48056510660293e-06,3,1
"81",0.999986014881245,1.3790379146503e-05,3,1
"82",0.999981635850279,1.81202526391784e-05,3,1
"83",0.999991079915193,8.80258155208883e-06,3,1
"84",0.999980836264786,1.89184795582114e-05,3,1
"85",0.999984543040302,1.52446210007102e-05,3,1
"86",0.999983696877908,1.60906250949442e-05,3,1
"87",0.99999629931986,3.65302215771289e-06,3,1
"88",0.99998658048093,1.32380528913542e-05,3,1
"89",0.999944081920393,5.51220880637192e-05,3,1
"90",0.999929608460275,6.95176626489892e-05,3,1
"91",0.999977054391784,2.263805347519e-05,3,1
"92",0.999988009338894,1.18348332571472e-05,3,1
"93",0.999991774022043,8.11619454466247e-06,3,1
"94",0.999976811034684,2.28496397254422e-05,3,1
"95",0.999983185993686,1.66089510897552e-05,3,1
"96",0.999991135216926,8.75047013712176e-06,3,1
"97",0.999981443992147,1.83031429031874e-05,3,1
"98",0.999986740188317,1.30829246650596e-05,3,1
"99",0.999962672200735,3.68233311757695e-05,3,1
"100",0.999990287659091,9.58403053234234e-06,3,1
"101",0.999916077485434,0.00011036960042428,4,1
"102",0.999864042475658,0.000178227692021306,4,1
"103",0.999901658347696,0.000128801332268984,4,1
"104",0.99995284181721,6.18558970037307e-05,4,1
"105",0.999934872394542,8.53731038481412e-05,4,1
"106",0.999900461727716,0.000131302646167078,4,1
"107",0.999934706662859,8.58370848633141e-05,4,1
"108",0.999885133397372,0.000150825612922157,4,1
"109",0.999939869640425,7.89582593574575e-05,4,1
"110",0.999911913986844,0.00011558720443617,4,1
"111",0.999879972643598,0.000157286019757315,4,1
"112",0.999950039863295,6.55936309378185e-05,4,1
"113",0.999954900768591,5.91180647754132e-05,4,1
"114",0.999889668044623,0.000144801745499919,4,1
"115",0.999921596183652,0.000102775549098006,4,1
"116",0.999916968782358,0.00010915358137947,4,1
"117",0.999943973825097,7.33504718302559e-05,4,1
"118",0.99995212167815,6.2810581101038e-05,4,1
"119",0.999963386207097,4.80770048162053e-05,4,1
"120",0.999909372093807,0.000118905889433207,4,1
"121",0.99994174857902,7.64438675061563e-05,4,1
"122",0.999924525220543,9.90428932627505e-05,4,1
"123",0.999933487058436,8.73217391233221e-05,4,1
"124",0.999964234768163,4.69548964280937e-05,4,1
"125",0.999885554747846,0.000150205971546883,4,1
"126",0.999911811629618,0.000115738038077718,4,1
"127",0.999945514728656,7.13705879264871e-05,4,1
"128",0.999947515774643,6.89809985741623e-05,4,1
"129",0.999900279642054,0.000130904874532012,4,1
"130",0.999937472199498,8.17998616945522e-05,4,1
"131",0.999938568040001,8.06333288393165e-05,4,1
"132",0.999961401339406,5.06269909565919e-05,4,1
"133",0.999930759215468,9.09878403726155e-05,4,1
"134",0.999915112755115,0.000111286076372078,4,1
"135",0.999936902510792,8.27957834927151e-05,4,1
"136",0.999948221625748,6.79206709113818e-05,4,1
"137",0.99995506749415,5.89561240343491e-05,4,1
"138",0.999936962971647,8.27604032856376e-05,4,1
"139",0.999954958004311,5.91283953778408e-05,4,1
"140",0.999950592633243,6.48544697256266e-05,4,1
"141",0.99996725207141,4.29198321027437e-05,4,1
"142",0.999941546549079,7.64961175896696e-05,4,1
"143",0.99993809199481,8.12116602665103e-05,4,1
"144",0.999912107752586,0.000115159212473778,4,1
"145",0.999931179441912,9.04685152311941e-05,4,1
"146",0.999932632290885,8.85637152347216e-05,4,1
"147",0.999943768664348,7.37794839940186e-05,4,1
"148",0.999950583176842,6.49610593119352e-05,4,1
"149",0.999918684123548,0.000106802118648291,4,1
"150",0.9999069090056,0.000121883367257597,4,1
"151",0.999910432966922,0.000117392156786611,4,1
"152",0.999945788263698,7.11825560621696e-05,4,1
"153",0.999909262257121,0.000118902093181588,4,1
"154",0.999960515432398,5.1847111962377e-05,4,1
"155",0.999926873251322,9.59519364973529e-05,4,1
"156",0.99991223821442,0.000115123463386761,4,1
"157",0.999931832611396,8.92586442754579e-05,4,1
"158",0.999901894486994,0.000128646960787488,4,1
"159",0.999949585743499,6.59840767366919e-05,4,1
"160",0.999943960112069,7.35778395082268e-05,4,1
"161",0.999943508103642,7.41449208169561e-05,4,1
"162",0.999947423478768,6.88353910116933e-05,4,1
"163",0.999926067087203,9.72151662119423e-05,4,1
"164",0.999904003015286,0.00012552550736407,4,1
"165",0.999912736916028,0.000114580932296372,4,1
"166",0.999905535559769,0.000124192483567921,4,1
"167",0.999930644490983,9.08840618570547e-05,4,1
"168",0.999930804275098,9.09499590494244e-05,4,1
"169",0.999961303058773,5.06605361547294e-05,4,1
"170",0.999945534182645,7.1308756286937e-05,4,1
"171",0.999955110035351,5.87877496911448e-05,4,1
"172",0.99992972957498,9.20515614280247e-05,4,1
"173",0.999946245853892,7.04631491718068e-05,4,1
"174",0.999951964022278,6.31133424797199e-05,4,1
"175",0.999943806063417,7.37573111526833e-05,4,1
"176",0.999909582485377,0.000118932981172871,4,1
"177",0.999957090530697,5.622658356558e-05,4,1
"178",0.999950292453644,6.51781318430119e-05,4,1
"179",0.999936633343872,8.2952230957843e-05,4,1
"180",0.99994738263025,6.89588073880996e-05,4,1
"181",0.999927162233144,9.52462155481019e-05,4,1
"182",0.999915984830383,0.000110092716809375,4,1
"183",0.99995010132485,6.53733587379744e-05,4,1
"184",0.999945116057863,7.17503492976445e-05,4,1
"185",0.999897606478625,0.000134289959744143,4,1
"186",0.999924280813701,9.94815133745775e-05,4,1
"187",0.999962900740734,4.86085563105208e-05,4,1
"188",0.999939582933907,7.92604346045384e-05,4,1
"189",0.999895896226905,0.000136340505014029,4,1
"190",0.999874533693843,0.000164641041876519,4,1
"191",0.99993164465157,8.97844876695656e-05,4,1
"192",0.999950826441083,6.45334652843341e-05,4,1
"193",0.999937975579471,8.14132130262782e-05,4,1
"194",0.999916433203253,0.000109529645783315,4,1
"195",0.999942250228153,7.58138295372901e-05,4,1
"196",0.999964722797423,4.6281264864357e-05,4,1
"197",0.999943809303352,7.36960025723905e-05,4,1
"198",0.999942672322743,7.53955402923848e-05,4,1
"199",0.999920978341406,0.000103887168644616,4,1
"200",0.999893796094775,0.000139373462198952,4,1
"201",0.999779092068385,0.00039570916847636,5,1
"202",0.999647837337845,0.000630604075088925,5,1
"203",0.999701488417323,0.000534503251300435,5,1
"204",0.999719820032659,0.000500357399821193,5,1
"205",0.999722137107728,0.000495473254564527,5,1
"206",0.999749799176692,0.000450155537120502,5,1
"207",0.999736531107229,0.000470916614756944,5,1
"208",0.999691021812115,0.000551282409526528,5,1
"209",0.999736528931074,0.00047104026170303,5,1
"210",0.999655873551369,0.000614930577193485,5,1
"211",0.999731364819318,0.000481311255583349,5,1
"212",0.999767252669806,0.00041594221595737,5,1
"213",0.999791958453005,0.000372956602674406,5,1
"214",0.999692094366444,0.000550869804512248,5,1
"215",0.999766839695862,0.000417176208232748,5,1
"216",0.999748539343304,0.00045163502222281,5,1
"217",0.999719699432246,0.000501447340978089,5,1
"218",0.999778981964319,0.000396434133833444,5,1
"219",0.999775186670877,0.00040235015106359,5,1
"220",0.999736227552463,0.00047014276113031,5,1
"221",0.999796992039545,0.000364001282759175,5,1
"222",0.999752794459053,0.000442947881824344,5,1
"223",0.999716612386186,0.000508175790557441,5,1
"224",0.999750868662573,0.000446999567068157,5,1
"225",0.999676569654219,0.000579696829945731,5,1
"226",0.99971606681953,0.000508360651095319,5,1
"227",0.999765856419736,0.000418980115379879,5,1
"228",0.999794870043241,0.00036733783940368,5,1
"229",0.999718413016931,0.000504884874931215,5,1
"230",0.999751084094827,0.000446138340410397,5,1
"231",0.99975240118432,0.000443080592872663,5,1
"232",0.999822531181611,0.000317698692462634,5,1
"233",0.999752923852757,0.000443086187219012,5,1
"234",0.999752836042499,0.000441895047971834,5,1
"235",0.999778358728295,0.00039694808014266,5,1
"236",0.999816489788995,0.000328847420471485,5,1
"237",0.99977653797875,0.000399444166695189,5,1
"238",0.999737034872786,0.000471366342001757,5,1
"239",0.999814868201492,0.000331443862157325,5,1
"240",0.999744950495679,0.00045824185026631,5,1
"241",0.999770719670563,0.000409798000651402,5,1
"242",0.999754665979793,0.000438540402319758,5,1
"243",0.999753040020386,0.000442109101697149,5,1
"244",0.999727032083793,0.000487967000603872,5,1
"245",0.99971468644167,0.000511779414519095,5,1
"246",0.999752139915189,0.000444100409176138,5,1
"247",0.999722987823755,0.000496392999197662,5,1
"248",0.999793770299619,0.000368666554447777,5,1
"249",0.999727554423008,0.000486551341874493,5,1
"250",0.999719287573649,0.000501121476477616,5,1
"251",0.99974557594328,0.000455189832680958,5,1
"252",0.999689339872503,0.000556477889356771,5,1
"253",0.999744376098227,0.000456236802182087,5,1
"254",0.999769886847209,0.000412789333484191,5,1
"255",0.999705979949487,0.000524083583009376,5,1
"256",0.999700418232815,0.000537159525950573,5,1
