"","H","C","D","tau"
"1",0.999992412251494,7.48806336665149e-06,3,1
"2",0.999993788172633,6.12357412307723e-06,3,1
"3",0.999984569475386,1.52557923369858e-05,3,1
"4",0.9999898693127,9.99640029129863e-06,3,1
"5",0.999996808475659,3.14918727924093e-06,3,1
"6",0.999996517580196,3.43503537900716e-06,3,1
"7",0.999993499098349,6.41002611382723e-06,3,1
"8",0.999986650987095,1.31799192149855e-05,3,1
"9",0.999992140956234,7.75481176054255e-06,3,1
"10",0.999956770582893,4.26308794155327e-05,3,1
"11",0.999992141719641,7.75367772531821e-06,3,1
"12",0.999997873826933,2.09766529810683e-06,3,1
"13",0.999956800956516,4.26785131615616e-05,3,1
"14",0.999990310194354,9.56058615930639e-06,3,1
"15",0.999995871883747,4.07356510099443e-06,3,1
"16",0.999997023310194,2.93759367729748e-06,3,1
"17",0.999951874500744,4.75104597846883e-05,3,1
"18",0.999985884126635,1.3936322942715e-05,3,1
"19",0.999973905215041,2.57548453553642e-05,3,1
"20",0.999992596681675,7.30165105667627e-06,3,1
"21",0.999990300724523,9.57129150950397e-06,3,1
"22",0.999997155058695,2.80800762262421e-06,3,1
"23",0.999983427923167,1.63394144781438e-05,3,1
"24",0.999984505580737,1.52914886320492e-05,3,1
"25",0.9999849790997,1.48185923588881e-05,3,1
"26",0.999995111520766,4.82432489427483e-06,3,1
"27",0.99997969680744,2.00420077093072e-05,3,1
"28",0.999964233183921,3.53093111221171e-05,3,1
"29",0.999993743312694,6.1721255405087e-06,3,1
"30",0.999988213062389,1.1623821713901e-05,3,1
"31",0.99999629805958,3.65555008677182e-06,3,1
"32",0.999972789864614,2.68711019744081e-05,3,1
"33",0.999983126019694,1.66540554123776e-05,3,1
"34",0.999993611569892,6.30433885472969e-06,3,1
"35",0.999907471093387,9.13430721775569e-05,3,1
"36",0.99998603566617,1.37886979295015e-05,3,1
"37",0.999996329961475,3.62220491050219e-06,3,1
"38",0.999993048141527,6.86339389046048e-06,3,1
"39",0.999968381613277,3.12037959951141e-05,3,1
"40",0.999990884875665,9.00538729508588e-06,3,1
"41",0.999983311250335,1.64996024008657e-05,3,1
"42",0.999963384335972,3.61353870459148e-05,3,1
"43",0.999956886086653,4.25311167604055e-05,3,1
"44",0.999990889384057,8.99605839734293e-06,3,1
"45",0.999981285396921,1.84724415043839e-05,3,1
"46",0.999979742832345,2.00102555938591e-05,3,1
"47",0.999990919439195,8.9581707131122e-06,3,1
"48",0.999987673802548,1.21629616912994e-05,3,1
"49",0.999983372168153,1.63961580259218e-05,3,1
"50",0.999991763779177,8.12805077795075e-06,3,1
"51",0.999985300649142,1.45118292457295e-05,3,1
"52",0.999978300230499,2.1388839500528e-05,3,1
"53",0.999990459975226,9.4148870643062e-06,3,1
"54",0.999985119411531,1.4661185093117e-05,3,1
"55",0.999997117964268,2.8424285206207e-06,3,1
"56",0.999980147493187,1.95850725586917e-05,3,1
"57",0.999985595442812,1.42261885188198e-05,3,1
"58",0.999978553142709,2.11816815099835e-05,3,1
"59",0.999981234162244,1.85178551228619e-05,3,1
"60",0.999990874167135,9.00469613302696e-06,3,1
"61",0.99996251988496,3.69973088690083e-05,3,1
"62",0.999929233932016,6.97772630576073e-05,3,1
"63",0.999939866111199,5.93420886664435e-05,3,1
"64",0.999974783942441,2.48811167472046e-05,3,1
"65",0.999981038175746,1.87154591868807e-05,3,1
"66",0.999992686440792,7.22166032720542e-06,3,1
"67",0.999968503006481,3.10657457743718e-05,3,1
"68",0.9999926109201,7.29909071639947e-06,3,1
"69",0.999992506761574,7.39047600253014e-06,3,1
"70",0.999970613255632,2.90010338500762e-05,3,1
"71",0.999986551442614,1.32777106800327e-05,3,1
"72",0.999998577050832,1.4043832388087e-06,3,1
"73",0.9999800749707,1.96626249674829e-05,3,1
"74",0.999986632823923,1.3188305174545e-05,3,1
"75",0.999991751350573,8.14116848089716e-06,3,1
"76",0.999980852955146,1.88766158969162e-05,3,1
"77",0.999957569340309,4.18808669821645e-05,3,1
"78",0.999984353970845,1.54412118118008e-05,3,1
"79",0.999908175052598,9.07175416454507e-05,3,1
"80",0.999984188012343,1.56108578154749e-05,3,1
"81",0.999988940360915,1.09213713064452e-05,3,1
"82",0.999994786283989,5.14514060525836e-06,3,1
"83",0.99999303416043,6.87417382270883e-06,3,1
"84",0.999966160856033,3.3412284791211e-05,3,1
"85",0.999993962836876,5.96019792716044e-06,3,1
"86",0.999976917557536,2.27804672676021e-05,3,1
"87",0.999990381415198,9.48624454172194e-06,3,1
"88",0.999992030590631,7.87523584841587e-06,3,1
"89",0.999994689507669,5.24146413226978e-06,3,1
"90",0.999938328863565,6.08264521763874e-05,3,1
"91",0.999990010952368,9.85680263633211e-06,3,1
"92",0.99999064029885,9.23190688619252e-06,3,1
"93",0.999988099856442,1.17438049621551e-05,3,1
"94",0.999973622122549,2.60489427240369e-05,3,1
"95",0.999981527036385,1.82218528982253e-05,3,1
"96",0.99997876257278,2.09331678289316e-05,3,1
"97",0.999981404991979,1.83661311426022e-05,3,1
"98",0.999974831724081,2.48090439338727e-05,3,1
"99",0.999993911725178,6.01074106716689e-06,3,1
"100",0.999982294459854,1.74659267286482e-05,3,1
"101",0.999945600179698,7.13524610716006e-05,4,1
"102",0.999955515484055,5.83465109256119e-05,4,1
"103",0.999932308308108,8.87359025425199e-05,4,1
"104",0.999969984645485,3.93009377759432e-05,4,1
"105",0.999966491366792,4.3968740156477e-05,4,1
"106",0.999950022509325,6.55033661407749e-05,4,1
"107",0.999917688745122,0.000108060534733612,4,1
"108",0.999961986109381,4.98531374849672e-05,4,1
"109",0.999954436351016,5.98732642659568e-05,4,1
"110",0.999881260125158,0.000156076671126503,4,1
"111",0.999958148298667,5.5077758871434e-05,4,1
"112",0.999952460238783,6.23076049841894e-05,4,1
"113",0.999914613266406,0.000112289020113505,4,1
"114",0.999946348186019,7.03974140195867e-05,4,1
"115",0.999946235986309,7.05831381217351e-05,4,1
"116",0.999959978539617,5.25989559789003e-05,4,1
"117",0.999910668229418,0.000117180813182336,4,1
"118",0.999946963377945,6.95601507286515e-05,4,1
"119",0.999926333525734,9.65882822147525e-05,4,1
"120",0.999943289258935,7.46016975049821e-05,4,1
"121",0.999955770895143,5.80045412549919e-05,4,1
"122",0.999935999235771,8.39111721236888e-05,4,1
"123",0.999946932457579,6.94241289683891e-05,4,1
"124",0.999965299196675,4.55235502913088e-05,4,1
"125",0.999937301870645,8.20000825866761e-05,4,1
"126",0.999957683886733,5.55263031446128e-05,4,1
"127",0.999928704412439,9.34828539888138e-05,4,1
"128",0.99992180608747,0.000102576313683545,4,1
"129",0.999946198397183,7.05798257258969e-05,4,1
"130",0.999962355532562,4.9357720201336e-05,4,1
"131",0.999918531390764,0.000106757523441414,4,1
"132",0.999914772503431,0.000112259914354944,4,1
"133",0.999962104772259,4.97744366214849e-05,4,1
"134",0.999961576651951,5.0468824654485e-05,4,1
"135",0.999863166768924,0.000179494175962023,4,1
"136",0.999930207685587,9.17027203970383e-05,4,1
"137",0.999930892109283,9.06407104888354e-05,4,1
"138",0.999954213719811,6.00814781648878e-05,4,1
"139",0.999901082990079,0.000129793699265221,4,1
"140",0.999916712472021,0.000109466449787374,4,1
"141",0.999889304238265,0.000145297622837185,4,1
"142",0.999906250192298,0.000122833788755042,4,1
"143",0.999911015839378,0.00011656605783049,4,1
"144",0.9999473022666,6.91868717132535e-05,4,1
"145",0.999942772585975,7.51190738633849e-05,4,1
"146",0.999934482954763,8.59293088392522e-05,4,1
"147",0.999934734519908,8.56461796027035e-05,4,1
"148",0.999952854117002,6.19088773075687e-05,4,1
"149",0.999951263814745,6.38653141545478e-05,4,1
"150",0.999943577858671,7.41982026193713e-05,4,1
"151",0.999942021020985,7.5861502808147e-05,4,1
"152",0.999914858806931,0.000111538971676933,4,1
"153",0.999945910036985,7.10183158113745e-05,4,1
"154",0.999918940165561,0.00010643436121043,4,1
"155",0.999969880333005,3.94739345702448e-05,4,1
"156",0.999877849861063,0.000160454899581315,4,1
"157",0.999954583053922,5.95567018001303e-05,4,1
"158",0.999928777853963,9.33819767589985e-05,4,1
"159",0.99996252745926,4.91467671961929e-05,4,1
"160",0.999945450191955,7.15782328104499e-05,4,1
"161",0.999910863040584,0.000116976291671496,4,1
"162",0.999849364687159,0.00019657991566722,4,1
"163",0.999904852826571,0.000124823518972108,4,1
"164",0.999899277093247,0.000132220430241215,4,1
"165",0.999942245953601,7.57782721782646e-05,4,1
"166",0.999960978082417,5.11763170177582e-05,4,1
"167",0.999921903163745,0.00010246275556501,4,1
"168",0.999967808513398,4.21615550563699e-05,4,1
"169",0.999931548030715,8.98837881633966e-05,4,1
"170",0.99989263924247,0.000140284056696313,4,1
"171",0.999921702353922,0.000103075293154387,4,1
"172",0.999969251669649,4.03705300202232e-05,4,1
"173",0.999928227023405,9.42494835753131e-05,4,1
"174",0.999911195082847,0.000116441953684363,4,1
"175",0.999945652500973,7.12969924222407e-05,4,1
"176",0.99993606607098,8.39990831432886e-05,4,1
"177",0.999901590791214,0.000128744068798566,4,1
"178",0.999943183949872,7.46602600612175e-05,4,1
"179",0.999861596984075,0.00018154820978961,4,1
"180",0.999964637775257,4.64703658318746e-05,4,1
"181",0.999956049406095,5.74730898780792e-05,4,1
"182",0.999947614876903,6.85838548567368e-05,4,1
"183",0.999938113927947,8.11541683809462e-05,4,1
"184",0.999945433077781,7.16350588196767e-05,4,1
"185",0.999950330231214,6.5128586631901e-05,4,1
"186",0.99995728055545,5.60244727145039e-05,4,1
"187",0.999933096610642,8.78259784672168e-05,4,1
"188",0.999945049124756,7.21419956106433e-05,4,1
"189",0.999943422642128,7.41885186930828e-05,4,1
"190",0.999899886529245,0.000131188725014409,4,1
"191",0.999922243903116,0.000102243396706861,4,1
"192",0.999969881055167,3.95181978020092e-05,4,1
"193",0.999954002274678,6.03485951192019e-05,4,1
"194",0.999940709534356,7.78592630814727e-05,4,1
"195",0.999945320459333,7.18000153182041e-05,4,1
"196",0.99995604198056,5.76436706576626e-05,4,1
"197",0.99990650667968,0.000122561188521023,4,1
"198",0.999932947857731,8.7732738590062e-05,4,1
"199",0.999954333080577,5.99435946248117e-05,4,1
"200",0.999920278354254,0.000104499854439847,4,1
"201",0.99980023975904,0.000358280037603535,5,1
"202",0.999775323356985,0.000401848362788678,5,1
"203",0.999779308001629,0.000393668645438157,5,1
"204",0.999818053190988,0.000326318815495728,5,1
"205",0.999808537189144,0.000342874701731331,5,1
"206",0.999756430597431,0.000435531824361954,5,1
"207",0.999722832672752,0.000496829388353766,5,1
"208",0.999786455759878,0.000381379479230038,5,1
"209",0.999799753084663,0.000358151115853713,5,1
"210",0.999654421580517,0.0006187440500973,5,1
"211",0.999823729992125,0.000315590249737689,5,1
"212",0.999756775472683,0.000435967133627883,5,1
"213",0.999741868686059,0.00046215875883325,5,1
"214",0.999702080907633,0.000534185894110319,5,1
"215",0.999725680249728,0.000491924541274192,5,1
"216",0.9997722348951,0.000406813189535195,5,1
"217",0.999743051557584,0.000458366233872523,5,1
"218",0.999802253824978,0.000353551814317796,5,1
"219",0.999777416368115,0.000397937938946973,5,1
"220",0.999704361923472,0.000530700570882817,5,1
"221",0.99973070000242,0.000480833658888615,5,1
"222",0.999790618667974,0.000374279991461676,5,1
"223",0.999807144220974,0.000345022824875333,5,1
"224",0.999790625659075,0.000375157067596772,5,1
"225",0.999763525302552,0.000423005489649622,5,1
"226",0.999792280348376,0.000371465805543563,5,1
"227",0.999721108926058,0.000499601411207249,5,1
"228",0.999789897697734,0.000376149873742085,5,1
"229",0.999714181710905,0.000510433654636248,5,1
"230",0.999748250531903,0.000449666868330681,5,1
"231",0.999766960260478,0.000417393785560103,5,1
"232",0.999744096100455,0.000457741900801355,5,1
"233",0.99980537589429,0.000348833482654967,5,1
"234",0.999779045642538,0.000395553363984705,5,1
"235",0.999682466836879,0.000567670718279503,5,1
"236",0.999706451380529,0.000527138183193698,5,1
"237",0.999735465985684,0.000472958409984434,5,1
"238",0.999790404526145,0.000374986259032029,5,1
"239",0.999768665936174,0.000413240448124388,5,1
"240",0.999762337232892,0.000424843117565287,5,1
"241",0.999714974500894,0.000509859944533667,5,1
"242",0.999745284247981,0.000456499638818904,5,1
"243",0.99969760417476,0.000539760760858029,5,1
"244",0.999781753284476,0.000390594250323337,5,1
"245",0.99981541556226,0.000330347566163503,5,1
"246",0.999748711527158,0.000449463133760935,5,1
"247",0.999760337793395,0.000428292883962221,5,1
"248",0.999779642125313,0.000394349990944375,5,1
"249",0.999780501953747,0.000393042010906279,5,1
"250",0.999776933572394,0.000399835091999415,5,1
"251",0.99972157436064,0.00049719583289931,5,1
"252",0.999715541169465,0.000510088791982103,5,1
"253",0.999765479724297,0.000419924218995536,5,1
"254",0.999735385175017,0.00047520409255347,5,1
"255",0.999770928770803,0.000409682284736851,5,1
"256",0.999708924802826,0.000521229573232105,5,1
"257",0.999738967659673,0.000466175044181091,5,1
"258",0.999782555836837,0.000389055023403749,5,1
"259",0.999799946317193,0.000356829155648086,5,1
"260",0.999774439276673,0.000403001908217371,5,1
"261",0.999713498907578,0.000512631634714905,5,1
"262",0.999689646382702,0.000554347692696935,5,1
"263",0.999645169806908,0.000637147648579029,5,1
"264",0.99976030782453,0.000429011459712357,5,1
"265",0.999800229364622,0.000357342168198618,5,1
"266",0.999787419017156,0.000381176144261088,5,1
"267",0.999775381230415,0.000401465952414511,5,1
"268",0.999765010255845,0.000420534711925984,5,1
"269",0.999759183701059,0.000431338607351676,5,1
"270",0.999747007334853,0.000451141278301358,5,1
"271",0.999715048465498,0.000510323197341839,5,1
"272",0.999810370444024,0.000339550024566975,5,1
"273",0.999756937039207,0.000435119434903922,5,1
"274",0.999732742426995,0.000477010096914055,5,1
"275",0.999776395727692,0.000399765983808892,5,1
"276",0.999752879744076,0.000442635746556051,5,1
"277",0.999759347810743,0.000429411157961556,5,1
"278",0.999782932800058,0.00038875347485318,5,1
"279",0.999689824405143,0.000555865223098851,5,1
"280",0.999789870512127,0.000376324458186345,5,1
"281",0.999807809637785,0.000342935171151622,5,1
"282",0.99975660578819,0.000435660666484355,5,1
"283",0.999763199199749,0.000422652434375848,5,1
"284",0.999741712970289,0.000462183517281152,5,1
"285",0.99975484468693,0.000438222289007002,5,1
"286",0.999752957241257,0.000442473060485996,5,1
"287",0.999731038867154,0.000481308808423123,5,1
"288",0.999742778537343,0.00045983023350916,5,1
"289",0.999742535541186,0.00046180626121821,5,1
"290",0.999689766049827,0.000556158911947482,5,1
"291",0.999745097090381,0.000457934436294863,5,1
"292",0.99976788282035,0.000415571956746246,5,1
"293",0.999753548232498,0.000441499002594978,5,1
"294",0.999786994687792,0.000382991772503034,5,1
"295",0.999743448041198,0.000459557735488482,5,1
"296",0.999742976865439,0.000460864063402282,5,1
"297",0.999716547928222,0.000506233123923945,5,1
"298",0.999756910191652,0.000434028562763451,5,1
"299",0.999762644589302,0.000423856054554826,5,1
"300",0.999735778457824,0.000473206475574782,5,1
"301",0.998983298592215,0.00243519259798199,6,1
"302",0.998919569169601,0.00259277417196082,6,1
"303",0.998937244108892,0.00254295738545267,6,1
"304",0.998935912162862,0.00254267623214584,6,1
"305",0.999019835817393,0.00234518045897884,6,1
"306",0.999026071539725,0.00233230204837849,6,1
"307",0.998925166940553,0.00257405641070742,6,1
"308",0.998931663629069,0.00255949421975088,6,1
"309",0.998976673082937,0.0024408888744627,6,1
"310",0.998796821562912,0.00288940788998727,6,1
"311",0.998910509868526,0.00261643906526152,6,1
"312",0.998880283562067,0.002692926032685,6,1
"313",0.998971429552195,0.00246042896736797,6,1
"314",0.998792777318287,0.00289087486486802,6,1
"315",0.998871285751284,0.00270414344055995,6,1
"316",0.99886861933614,0.00270343724245019,6,1
"317",0.998918789838998,0.00259690451592169,6,1
"318",0.999064310266247,0.00223648099622796,6,1
"319",0.998910786366336,0.00261919594326677,6,1
"320",0.998798917211428,0.00288486911461817,6,1
"321",0.99883910267227,0.00278792823211879,6,1
"322",0.999001829033968,0.00238905566643159,6,1
"323",0.999001666886855,0.00238405880099144,6,1
"324",0.998908669348707,0.0026133195479645,6,1
"325",0.998952148030204,0.0025086432233737,6,1
"326",0.998852780336191,0.00275148741078675,6,1
"327",0.998831330452992,0.00279619479790592,6,1
"328",0.998952617470405,0.00251307378614703,6,1
"329",0.998911753940369,0.00260004705679623,6,1
"330",0.998905732090655,0.00262230726541271,6,1
"331",0.998957181937933,0.0024992577938738,6,1
"332",0.998939262354425,0.00253310133830737,6,1
"333",0.998967549252514,0.00247048990507057,6,1
"334",0.998954964012326,0.00249833194163184,6,1
"335",0.998904723184779,0.00262241511701399,6,1
"336",0.998740109291275,0.0030194888780233,6,1
"337",0.998923385922744,0.00257322733677903,6,1
"338",0.998988833114042,0.0024186312736182,6,1
"339",0.998971366277388,0.0024634574589923,6,1
"340",0.998974583440482,0.0024570062778407,6,1
"341",0.998941414055624,0.0025293705555039,6,1
"342",0.99887091419571,0.00270192973391495,6,1
"343",0.998852814042788,0.00273852737555265,6,1
"344",0.998982773777683,0.00244150675559963,6,1
"345",0.998953679792204,0.0025040700211263,6,1
"346",0.998965342014715,0.00247868499162091,6,1
"347",0.998847747306696,0.00276911206577718,6,1
"348",0.998925493419834,0.00257243826226351,6,1
"349",0.998896258130222,0.00264472095623856,6,1
"350",0.998939068185479,0.00254303625511211,6,1
"351",0.998862572859551,0.0027148914568429,6,1
"352",0.998820757901863,0.00283664227810523,6,1
"353",0.998947564715643,0.00251941874121197,6,1
"354",0.998872371868901,0.00270589234634159,6,1
"355",0.998878845466746,0.00267824882452527,6,1
"356",0.998861800467005,0.00272195301428554,6,1
"357",0.998871306677174,0.00269639884223165,6,1
"358",0.998982447179008,0.00244387858152611,6,1
"359",0.998970510909874,0.00247358960363641,6,1
"360",0.99891049212412,0.0026073437438099,6,1
"361",0.998827994939864,0.00280352538042782,6,1
"362",0.998834972921369,0.00278708410589307,6,1
"363",0.99873182289565,0.00303543857820794,6,1
"364",0.998950909164309,0.00250652056096772,6,1
"365",0.99897640850639,0.00245155008905619,6,1
"366",0.998948053979404,0.0025255702050999,6,1
"367",0.998984574427919,0.00242888479842186,6,1
"368",0.998870199052717,0.00271057100265421,6,1
"369",0.998910167533714,0.00261110022361062,6,1
"370",0.998924115640305,0.00257911066210059,6,1
"371",0.99888284802448,0.00267661199144649,6,1
"372",0.998966249711012,0.00248646849320499,6,1
"373",0.998955996898979,0.00249786990715213,6,1
"374",0.998955405535375,0.00250461803505322,6,1
"375",0.998980318320988,0.00244005097081827,6,1
"376",0.998864848483864,0.00272654374605778,6,1
"377",0.998981924029533,0.00243573787876517,6,1
"378",0.998928593532708,0.00256817299641815,6,1
"379",0.998873951881469,0.00268802539522731,6,1
"380",0.998938287398667,0.0025431007705205,6,1
"381",0.999015831033767,0.00235524792831873,6,1
"382",0.998887808619892,0.00266735806563071,6,1
"383",0.998792846497245,0.00289035989269,6,1
"384",0.998814695190179,0.00283671651428959,6,1
"385",0.998938784820921,0.0025459226508267,6,1
"386",0.998843052353549,0.00276502424508032,6,1
"387",0.998897613138707,0.0026345929094902,6,1
"388",0.998898192778395,0.00264018616678773,6,1
"389",0.998823253069886,0.00282507766548663,6,1
"390",0.998839544754514,0.00278107419763434,6,1
"391",0.998928706910645,0.00256802123681944,6,1
"392",0.998973039587997,0.00245420995589419,6,1
"393",0.998833577129885,0.00279863536286965,6,1
"394",0.998837279931644,0.0027895179246404,6,1
"395",0.998851946111047,0.00274885636480617,6,1
"396",0.998908424316122,0.00261875086384828,6,1
"397",0.998896305445447,0.00264164720114638,6,1
