"","H","C","D","tau"
"1",0.999993206159546,6.6988964482123e-06,3,1
"2",0.999990009003632,9.86432006994006e-06,3,1
"3",0.999990895143732,8.97828299213247e-06,3,1
"4",0.99998541543663,1.44113579770158e-05,3,1
"5",0.999986774478327,1.30420820623471e-05,3,1
"6",0.999985900292446,1.39282836645323e-05,3,1
"7",0.999998276359479,1.70076557191232e-06,3,1
"8",0.999996265248574,3.68560885749329e-06,3,1
"9",0.999992454128629,7.44458349398218e-06,3,1
"10",0.999994859145816,5.07297958413991e-06,3,1
"11",0.999920889525423,7.80298845891274e-05,3,1
"12",0.999984264995677,1.55279608373212e-05,3,1
"13",0.999989234794477,1.06190451656888e-05,3,1
"14",0.999993952503552,5.96954296625466e-06,3,1
"15",0.999987853897316,1.19836195055803e-05,3,1
"16",0.999990660479493,9.21525039710874e-06,3,1
"17",0.999997378146509,2.58816314512145e-06,3,1
"18",0.999987644568295,1.21883953150324e-05,3,1
"19",0.999997697439914,2.27283785860863e-06,3,1
"20",0.999995554460764,4.38810221978335e-06,3,1
"21",0.99996361113799,3.60009636217381e-05,3,1
"22",0.999987676858607,1.21630534799805e-05,3,1
"23",0.999995291390036,4.64862587658906e-06,3,1
"24",0.999952685509295,4.66957500378511e-05,3,1
"25",0.999969149716483,3.04707283504083e-05,3,1
"26",0.999976040391655,2.36565125334755e-05,3,1
"27",0.999993204558546,6.69994605371697e-06,3,1
"28",0.999992800847076,7.10849672631114e-06,3,1
"29",0.999994467356926,5.45992404533233e-06,3,1
"30",0.9999491798194,5.01283063653921e-05,3,1
"31",0.999991954819188,7.93648575869035e-06,3,1
"32",0.99996062488895,3.88869068489828e-05,3,1
"33",0.99997104257633,2.86041168804392e-05,3,1
"34",0.999980896466827,1.88617413072373e-05,3,1
"35",0.999988358349567,1.14940285561703e-05,3,1
"36",0.99997756798336,2.21368760238597e-05,3,1
"37",0.999981019968739,1.87225882267261e-05,3,1
"38",0.999988525565948,1.13225142545294e-05,3,1
"39",0.999998703407409,1.27947400869707e-06,3,1
"40",0.999992472080299,7.42527967031937e-06,3,1
"41",0.999983103548003,1.6677425963196e-05,3,1
"42",0.999997136710528,2.82525347429693e-06,3,1
"43",0.999982841227622,1.69454137683351e-05,3,1
"44",0.999987420337037,1.24205045109044e-05,3,1
"45",0.99997262912606,2.70138697575331e-05,3,1
"46",0.999982765915062,1.70165775645505e-05,3,1
"47",0.999990919299003,8.96036721239599e-06,3,1
"48",0.999919299853153,7.96161865951796e-05,3,1
"49",0.999999714601447,2.81677426083631e-07,3,1
"50",0.99996549666056,3.40583411037496e-05,3,1
"51",0.999983808145505,1.59926999229628e-05,3,1
"52",0.999979372986219,2.03514652983148e-05,3,1
"53",0.999975795443178,2.38663899389304e-05,3,1
"54",0.999998988827028,9.97766005252589e-07,3,1
"55",0.99997345046778,2.62039077915683e-05,3,1
"56",0.999929842766173,6.9231975306017e-05,3,1
"57",0.999971663710933,2.79497790923709e-05,3,1
"58",0.99998797748034,1.18634815533493e-05,3,1
"59",0.999984924186636,1.48860175018558e-05,3,1
"60",0.999978851706524,2.08692461133103e-05,3,1
"61",0.999978199400888,2.15096038771079e-05,3,1
"62",0.999991725275341,8.17250647640322e-06,3,1
"63",0.999980546917286,1.92020387362234e-05,3,1
"64",0.999935121931374,6.40580755258096e-05,3,1
"65",0.999995213931561,4.7176832627376e-06,3,1
"66",0.999989851601964,1.00173270539241e-05,3,1
"67",0.999992530537661,7.37775574013893e-06,3,1
"68",0.999972102048178,2.75468250355901e-05,3,1
"69",0.999989564596886,1.02908160138948e-05,3,1
"70",0.999991449272323,8.43694801466745e-06,3,1
"71",0.999993060129032,6.84763181207896e-06,3,1
"72",0.999984052536641,1.57400488925171e-05,3,1
"73",0.999985778344137,1.40373843285182e-05,3,1
"74",0.999997319847317,2.64603986617028e-06,3,1
"75",0.999962810506188,3.66931914674885e-05,3,1
"76",0.999969511958721,3.00760064638848e-05,3,1
"77",0.999997959435913,2.01390531876845e-06,3,1
"78",0.999985516981683,1.42947136091155e-05,3,1
"79",0.999993607558649,6.31094248693985e-06,3,1
"80",0.99995306929952,4.63094190853455e-05,3,1
"81",0.999969973440445,2.96314314311256e-05,3,1
"82",0.999982244472,1.75379639427374e-05,3,1
"83",0.999960980510348,3.85720845867669e-05,3,1
"84",0.999997659592068,2.30903326944022e-06,3,1
"85",0.999998709751924,1.27272680823091e-06,3,1
"86",0.99999091917446,8.96186692086409e-06,3,1
"87",0.999994736959999,5.1943603207419e-06,3,1
"88",0.999994082013179,5.84393934129134e-06,3,1
"89",0.999970062768905,2.95197106309753e-05,3,1
"90",0.999993644564745,6.27136701119005e-06,3,1
"91",0.9999412071449,5.80109395138181e-05,3,1
"92",0.999974695950286,2.49644814379378e-05,3,1
"93",0.99999695271079,3.00640649178751e-06,3,1
"94",0.999983912120717,1.58738071494814e-05,3,1
"95",0.999988468023508,1.13865716669405e-05,3,1
"96",0.999984724082506,1.51042752586457e-05,3,1
"97",0.999983886557256,1.58957870093712e-05,3,1
"98",0.99999322869179,6.68338031297667e-06,3,1
"99",0.999984958107763,1.48463522443057e-05,3,1
"100",0.999987082027983,1.27474248527492e-05,3,1
"101",0.999965108422668,4.57964349879063e-05,4,1
"102",0.999930297527625,9.16056296856733e-05,4,1
"103",0.999978607343457,2.80210301103706e-05,4,1
"104",0.999910074777662,0.000117996992983317,4,1
"105",0.999961216909583,5.08748683483546e-05,4,1
"106",0.999967787639357,4.22481796200672e-05,4,1
"107",0.999964684968688,4.63517179819035e-05,4,1
"108",0.999960041647165,5.23297629715848e-05,4,1
"109",0.999958656346113,5.41934844631089e-05,4,1
"110",0.999970611167806,3.85571824284626e-05,4,1
"111",0.999910844067416,0.000116774849423981,4,1
"112",0.999955886580121,5.79097776294177e-05,4,1
"113",0.999955000373395,5.89952568919236e-05,4,1
"114",0.999927540462279,9.49571391246893e-05,4,1
"115",0.999924878509968,9.84570475301514e-05,4,1
"116",0.999962132143825,4.96511759587996e-05,4,1
"117",0.999953024663998,6.16482544145944e-05,4,1
"118",0.999925184493478,9.81055608165668e-05,4,1
"119",0.999962257142288,4.95117266906102e-05,4,1
"120",0.999964953334268,4.60298333346833e-05,4,1
"121",0.999919393366322,0.000105850504655252,4,1
"122",0.999947056017265,6.95732802903843e-05,4,1
"123",0.999980704718211,2.53028072552285e-05,4,1
"124",0.999898403687545,0.000133116807560218,4,1
"125",0.999945020930998,7.20470435888338e-05,4,1
"126",0.999932053220709,8.91082465621455e-05,4,1
"127",0.999911055146223,0.000116574483574319,4,1
"128",0.999941398077674,7.68289614178865e-05,4,1
"129",0.999971331156568,3.76118302945479e-05,4,1
"130",0.99990652669264,0.000122410131777909,4,1
"131",0.999946641008057,7.00022554411355e-05,4,1
"132",0.999898461914031,0.000133271378584259,4,1
"133",0.999939282908327,7.96488577193446e-05,4,1
"134",0.999942436731262,7.55794834013868e-05,4,1
"135",0.99992100198598,0.000103504550085471,4,1
"136",0.999935018269071,8.52461635773397e-05,4,1
"137",0.999931898061197,8.94002152981573e-05,4,1
"138",0.999967502549232,4.26286544831722e-05,4,1
"139",0.99995833662825,5.47502055045434e-05,4,1
"140",0.999955533586104,5.81968224483464e-05,4,1
"141",0.999931367170476,9.00665557229068e-05,4,1
"142",0.999937725365433,8.18439162527505e-05,4,1
"143",0.99991025739195,0.000117943214335359,4,1
"144",0.999954235754988,6.01316012360393e-05,4,1
"145",0.99993230821532,8.88256195586989e-05,4,1
"146",0.999911698612043,0.000115542794620352,4,1
"147",0.999957713717404,5.54716573052759e-05,4,1
"148",0.999896821677616,0.000135219178214494,4,1
"149",0.999982936636796,2.23735178744789e-05,4,1
"150",0.999927871034562,9.45292390390076e-05,4,1
"151",0.999943186513122,7.44586095837502e-05,4,1
"152",0.999955034629511,5.8993512898762e-05,4,1
"153",0.999896398031854,0.000136087769034617,4,1
"154",0.999948189347342,6.82057540735993e-05,4,1
"155",0.999955013231445,5.90612850067637e-05,4,1
"156",0.999887147258491,0.00014831606404775,4,1
"157",0.999904145013211,0.000125396955216046,4,1
"158",0.999956006404167,5.78132498300073e-05,4,1
"159",0.999961543659701,5.04482642956594e-05,4,1
"160",0.999937646122709,8.1803257205342e-05,4,1
"161",0.999948744214985,6.71954784121063e-05,4,1
"162",0.999970770001162,3.83356770522291e-05,4,1
"163",0.999943788782914,7.37772341098716e-05,4,1
"164",0.999919270227492,0.000106021858896031,4,1
"165",0.999963073459708,4.84984895560685e-05,4,1
"166",0.999954185015349,6.01775933482599e-05,4,1
"167",0.999954455345632,5.98707390847852e-05,4,1
"168",0.999951981021446,6.30438949643954e-05,4,1
"169",0.999958436389507,5.45911715914979e-05,4,1
"170",0.999965631323782,4.50191400739207e-05,4,1
"171",0.999947059572753,6.94718649031869e-05,4,1
"172",0.9998891013895,0.000145304972667824,4,1
