"","H","C","D","tau"
"1",0.999256454224737,0.000729174958309449,3,1
"2",0.997986810221071,0.00260949447276681,4,1
"3",0.996253006887654,0.00656613269793574,5,1
"4",0.993820478313449,0.0143354800717529,6,1
"5",0.999029815224176,0.000950330238200408,3,10
"6",0.997645214405572,0.00304327361551022,4,10
"7",0.995841384562649,0.00725276436422742,5,10
"8",0.993407118438055,0.0152041721361916,6,10
"9",0.998895827184167,0.00108149090897299,3,30
"10",0.997352270512775,0.00343114400615411,4,30
"11",0.995553375316607,0.0077523031990559,5,30
"12",0.992996971573229,0.0161777242355797,6,30
"13",0.999009149470288,0.000970567425146065,3,50
"14",0.997247723449118,0.00356124545257864,4,50
"15",0.995327765814869,0.0081211156811535,5,50
"16",0.99282473445881,0.0164763159887593,6,50
"17",0.999101321935455,0.000880862593893839,3,1
"18",0.997516099177866,0.00323008481247655,4,1
"19",0.995635005220987,0.00761689669464279,5,1
"20",0.993060825194912,0.0159787301627309,6,1
"21",0.999091000505592,0.00089067006630596,3,10
"22",0.99772005770832,0.00294688054067386,4,10
"23",0.995789181513347,0.00734008527960718,5,10
"24",0.993037833217559,0.0160342845903929,6,10
"25",0.9989120354271,0.00106546084145891,3,30
"26",0.997265848743202,0.00353056112676753,4,30
"27",0.995152919865238,0.00841762438527332,5,30
"28",0.99249319729839,0.0171668283761928,6,30
"29",0.998884763991875,0.00109099279459997,3,50
"30",0.997251372097644,0.00355998726527059,4,50
"31",0.995474322451373,0.00792359080993698,5,50
"32",0.993073594811765,0.0160301176882272,6,50
"33",0.999116282795182,0.000866287878334947,3,1
"34",0.997540130815382,0.00319196400106601,4,1
"35",0.995801210727322,0.00732728252672581,5,1
"36",0.993299695421186,0.0154708603759709,6,1
"37",0.999132710214617,0.000850084982304084,3,10
"38",0.997689798168321,0.00299741315151982,4,10
"39",0.995804991203074,0.00734357173792098,5,10
"40",0.993476989231863,0.0151112453384966,6,10
"41",0.999212883976161,0.000771539149721764,3,30
"42",0.997873165319851,0.00275688352588446,4,30
"43",0.996270735208727,0.00649131355290548,5,30
"44",0.994006987946294,0.0137713515778881,6,30
"45",0.998836951694304,0.00113806506396425,3,50
"46",0.997365624316323,0.00340027794382607,4,50
"47",0.995804418945663,0.00729117208370908,5,50
"48",0.993400226245812,0.0152274236053554,6,50
"49",0.998959398132217,0.0010192227209233,3,1
"50",0.997376465415914,0.0033909285181601,4,1
"51",0.995376603382423,0.00803305130044009,5,1
"52",0.992714853436487,0.0167347592411189,6,1
"53",0.99926666098213,0.00071917234783357,3,10
"54",0.997646481954555,0.0030590607149115,4,10
"55",0.995614212351646,0.00766827766247756,5,10
"56",0.992843133012395,0.0165007967124376,6,10
"57",0.999144089073231,0.000839132937550536,3,30
"58",0.997518092125552,0.00321001847368773,4,30
"59",0.995163959025339,0.00846169305249063,5,30
"60",0.992252725811468,0.0179248375162475,6,30
"61",0.998871749648252,0.00110441410093023,3,50
"62",0.997361190977241,0.00341842656997744,4,50
"63",0.995723615779031,0.00746865970662274,5,50
"64",0.993577956574756,0.0148550582487512,6,50
"65",0.99921012650455,0.000774325440722849,3,1
"66",0.997821691388288,0.00283264535974547,4,1
"67",0.996134318284063,0.00678609452075595,5,1
