"","H","C","D","tau"
"1",0.99997992563738,1.97931914868186e-05,3,1
"2",0.999933279954858,8.74383965898486e-05,4,1
"3",0.999752179415129,0.000444996786274951,5,1
"4",0.998921160081652,0.0025827346553399,6,1
"5",0.999988493758746,1.13628785284265e-05,3,10
"6",0.999931002932344,9.03402323593108e-05,4,10
"7",0.999779144755335,0.000395602288157197,5,10
"8",0.998965831501029,0.00247099423258208,6,10
"9",0.999993854010561,6.06225151096568e-06,3,30
"10",0.999955514306674,5.84365321232367e-05,4,30
"11",0.999829223008837,0.000305975217377106,5,30
"12",0.999000930333554,0.00239793470323156,6,30
"13",0.99997700666923,2.26763131985251e-05,3,50
"14",0.99995295600374,6.16614686528652e-05,4,50
"15",0.999769982485176,0.000409703593046022,5,50
"16",0.998945754726445,0.00251227698918733,6,50
"17",0.99997061711187,2.90270079525425e-05,3,1
"18",0.999911519391519,0.000116474259880449,4,1
"19",0.999702803674829,0.000531606842786472,5,1
"20",0.998817744420108,0.00284344021116126,6,1
"21",0.999962907039044,3.65459574953053e-05,3,10
"22",0.999947106268858,6.94083297286726e-05,4,10
"23",0.999808980437875,0.000341725919078065,5,10
"24",0.999001964779916,0.00239292150153166,6,10
"25",0.999989790120571,1.0071753714378e-05,3,30
"26",0.999957173481754,5.60862217413156e-05,4,30
"27",0.99978940787204,0.000377023921553183,5,30
"28",0.998995473788628,0.00241014723933996,6,30
"29",0.999979232411615,2.04892155018893e-05,3,50
"30",0.999936419240614,8.34614577535479e-05,4,50
"31",0.999708614494757,0.000521389294458461,5,50
"32",0.998835685283136,0.00278625290104361,6,50
"33",0.999966292758999,3.32804764963734e-05,3,1
"34",0.999901629448754,0.000128810152022032,4,1
"35",0.999705552561765,0.000526507358065013,5,1
"36",0.998839477559196,0.00277581342979729,6,1
"37",0.99996232354795,3.7177855835912e-05,3,10
"38",0.999929999730202,9.1855022695784e-05,4,10
"39",0.999705723066868,0.000526002806222623,5,10
"40",0.998875464797214,0.00269042118170658,6,10
"41",0.99998931064875,1.05515929330216e-05,3,30
"42",0.999962820087801,4.88312702283126e-05,4,30
"43",0.999804581132634,0.000349900395563387,5,30
"44",0.999039715900544,0.00230916786387276,6,30
"45",0.999973349513076,2.62821972113973e-05,3,50
"46",0.999926620805705,9.62146579610956e-05,4,50
"47",0.999735492353043,0.000473065669638584,5,50
"48",0.998857833326556,0.00273635333277501,6,50
