"","H","C","Tau","D"
"1",0.999971886870843,2.77721258148446e-05,1,3
"2",0.999962083094607,3.74175994603418e-05,1,3
"3",0.999985095609943,1.46989957253333e-05,1,3
"4",0.999981092005019,1.86654972547473e-05,1,3
"5",0.999998304882124,1.67308639080445e-06,1,3
"6",0.999997105535891,2.8561976866721e-06,1,3
"7",0.999990165418013,9.7220464497261e-06,1,3
"8",0.99997291009492,2.67618988788531e-05,1,3
"9",0.999996603977598,3.3487879836448e-06,1,3
"10",0.999983356676624,1.6394677797782e-05,1,3
"11",0.99998855959779,1.12866931063171e-05,1,3
"12",0.999993257596977,6.6538172339387e-06,1,3
"13",0.99998194339351,1.77946041683547e-05,1,3
"14",0.999990821160411,9.04814328927534e-06,1,3
"15",0.999976260576005,2.34290268565112e-05,1,3
"16",0.999994439510409,5.4892460266987e-06,1,3
"17",0.999970605436641,2.89605306029061e-05,1,3
"18",0.999990567948763,9.30528703828816e-06,1,3
"19",0.999993660965089,6.25700239340422e-06,1,3
"20",0.999941360926872,5.7887124301274e-05,1,3
"21",0.999967578811831,3.1926309119394e-05,1,3
"22",0.999989126389038,1.07352282791261e-05,1,3
"23",0.999997303032285,2.66233728043261e-06,1,3
"24",0.999989205007981,1.06512290300601e-05,1,3
"25",0.999937405861972,6.17561434487182e-05,1,3
"26",0.999990576503444,9.29925276313869e-06,1,3
"27",0.999995003673955,4.9284453529337e-06,1,3
"28",0.999990543413639,9.34361298442411e-06,1,3
"29",0.999980834745633,1.88962904460825e-05,1,3
"30",0.999980116049022,1.96435582560308e-05,1,3
"31",0.999989244347172,1.06174617628608e-05,1,3
"32",0.999993987168162,5.93541591732489e-06,1,3
"33",0.999986079973978,1.37363205976904e-05,1,3
"34",0.999986018337536,1.38090406477832e-05,1,3
"35",0.9999845449215,1.52491029287219e-05,1,3
"36",0.999982564239597,1.72173210840089e-05,1,3
"37",0.99999594705859,4.00128273613931e-06,1,3
"38",0.999996249850031,3.69849063860424e-06,1,3
"39",0.999983885229053,1.59010715028897e-05,1,3
"40",0.999991474457616,8.41354784449017e-06,1,3
"41",0.999995528333254,4.41157545315097e-06,1,3
"42",0.999961660399243,3.78477496318105e-05,1,3
"43",0.999972757552379,2.6887778719949e-05,1,3
"44",0.999948154852234,5.11414678301582e-05,1,3
"45",0.999987344384463,1.24780860442923e-05,1,3
"46",0.999995794228062,4.15017671616689e-06,1,3
"47",0.999985595682493,1.42152227881171e-05,1,3
"48",0.999985231511341,1.45917379805244e-05,1,3
"49",0.999992558674428,7.34601385468476e-06,1,3
"50",0.999986194081069,1.36268893418238e-05,1,3
"51",0.999993687667182,6.22672957623701e-06,1,3
"52",0.999980292921526,1.9448435221808e-05,1,3
"53",0.999977728610376,2.19513683356415e-05,1,3
"54",0.999988619185907,1.12341758356677e-05,1,3
"55",0.999988873763822,1.09697157708132e-05,1,3
"56",0.99999076989156,9.1180866730998e-06,1,3
"57",0.999968292096697,3.13125166798507e-05,1,3
"58",0.999983400379218,1.63887401295149e-05,1,3
"59",0.999984200466638,1.55706556140947e-05,1,3
"60",0.999990306260576,9.56178941268997e-06,1,3
"61",0.999976883726972,2.28159918104546e-05,1,3
"62",0.999969537380783,3.0093821270502e-05,1,3
"63",0.999982805893095,1.69818822380454e-05,1,3
"64",0.999968882626443,3.07471633182278e-05,1,3
"65",0.999980787769712,1.89645021603852e-05,1,3
"66",0.999987748389061,1.2081646950266e-05,1,3
"67",0.999996012271595,3.93515487887702e-06,1,3
"68",0.999981536877305,1.82556090737926e-05,1,3
"69",0.99997805394871,2.16568260900361e-05,1,3
"70",0.999960607608306,3.89031826042469e-05,1,3
"71",0.999991743121741,8.14343558004256e-06,1,3
"72",0.999992347959908,7.5501812853666e-06,1,3
"73",0.999979932425951,1.97765416835197e-05,1,3
"74",0.999987534518632,1.23089918599841e-05,1,3
"75",0.999992471407717,7.43222638629772e-06,1,3
"76",0.999979222194764,2.04940263202909e-05,1,3
"77",0.999980928167991,1.88016458600696e-05,1,3
"78",0.999995427132499,4.5118073590435e-06,1,3
"79",0.999996796125092,3.16284343940213e-06,1,3
"80",0.999984752808718,1.50570460366873e-05,1,3
"81",0.999965306577843,3.42418513650681e-05,1,3
"82",0.999993600232385,6.31914718737202e-06,1,3
"83",0.999995787070979,4.15945147799314e-06,1,3
"84",0.999984786789672,1.50126993977275e-05,1,3
"85",0.999986287801321,1.35298441070787e-05,1,3
"86",0.999989399166135,1.04576926630719e-05,1,3
"87",0.999955505670385,4.3943338811706e-05,1,3
"88",0.999970014749875,2.95624586424607e-05,1,3
"89",0.999992019640639,7.87820799066525e-06,1,3
"90",0.999945007731027,5.44072540965377e-05,1,3
"91",0.999989323595575,1.05364967866472e-05,1,3
"92",0.999990616883594,9.2592877775861e-06,1,3
"93",0.999991009210846,8.87419569864921e-06,1,3
"94",0.999987084138255,1.27489436211105e-05,1,3
"95",0.999923533163644,7.54266819896988e-05,1,3
"96",0.999987937670677,1.19085240371536e-05,1,3
"97",0.999999124667342,8.64106176494297e-07,1,3
"98",0.999996586732061,3.36836422755742e-06,1,3
"99",0.999995566031614,4.3762637172975e-06,1,3
"100",0.999969669436908,3.0008364376278e-05,1,3
"101",0.999949629007644,4.97268008706516e-05,10,3
"102",0.999987328238386,1.24968177867298e-05,10,3
"103",0.999967137764471,3.24689779642966e-05,10,3
"104",0.999979249980251,2.04706587772028e-05,10,3
"105",0.999984195636035,1.5589979002084e-05,10,3
"106",0.999990351828854,9.51799966712579e-06,10,3
"107",0.999994158753523,5.76461528240532e-06,10,3
"108",0.999989442640035,1.04246193914618e-05,10,3
"109",0.999968486752714,3.10707085767209e-05,10,3
"110",0.999963168496574,3.63361477108572e-05,10,3
