"","H","C","D","tau"
"1",0.99997175313744,2.79026811256557e-05,3,1
"2",0.999988595297914,1.12615989577283e-05,3,1
"3",0.999981282624406,1.84587241242971e-05,3,1
"4",0.999998940048742,1.04617554442737e-06,3,1
"5",0.999985353710066,1.44530964556103e-05,3,1
"6",0.999997917509193,2.05547757069086e-06,3,1
"7",0.99997946891646,2.02888410646404e-05,3,1
"8",0.99997074919657,2.8845382395927e-05,3,1
"9",0.999972220243456,2.74552454543564e-05,3,1
"10",0.999963444882148,3.60742069043976e-05,3,1
"11",0.999974060486212,2.56010072663854e-05,3,1
"12",0.999996724300808,3.23280697797887e-06,3,1
"13",0.999993899668988,6.01933354996164e-06,3,1
"14",0.999968769152644,3.0814598925594e-05,3,1
"15",0.999990266858839,9.60557760215659e-06,3,1
"16",0.999961856405804,3.76394933307302e-05,3,1
"17",0.999958581231456,4.09256511074447e-05,3,1
"18",0.999985376892067,1.44472562931283e-05,3,1
"19",0.999986639745491,1.31839954976807e-05,3,1
"20",0.999994876537908,5.05649102398637e-06,3,1
"21",0.999989405374096,1.04710035615154e-05,3,1
"22",0.999993691276004,6.22469056861321e-06,3,1
"23",0.999987355019165,1.24748806868003e-05,3,1
"24",0.999989023269669,1.08270586653808e-05,3,1
"25",0.999993915099398,6.00442320512231e-06,3,1
"26",0.99999025704761,9.61347644058181e-06,3,1
"27",0.999996330220054,3.62116079664103e-06,3,1
"28",0.999992914689223,6.99351649475458e-06,3,1
"29",0.999975583414214,2.409103021911e-05,3,1
"30",0.999985750477723,1.4066096618802e-05,3,1
"31",0.999986404984417,1.33960515842097e-05,3,1
"32",0.999996383102933,3.57064252561081e-06,3,1
"33",0.999984945625676,1.48648712927978e-05,3,1
"34",0.999972619960819,2.69818733600264e-05,3,1
"35",0.999972785225527,2.68587595610196e-05,3,1
"36",0.999977475914366,2.22177001291947e-05,3,1
"37",0.999981488487022,1.82782454766689e-05,3,1
"38",0.999987203098958,1.26303758233593e-05,3,1
"39",0.999992511198241,7.39051227025906e-06,3,1
"40",0.999971557716066,2.80922221132371e-05,3,1
"41",0.999996894383934,3.06498425580028e-06,3,1
"42",0.999988627931048,1.12291694152864e-05,3,1
"43",0.999985334672825,1.44793065967002e-05,3,1
"44",0.999975840798309,2.38296192827551e-05,3,1
"45",0.999991943401023,7.94150171335056e-06,3,1
"46",0.999998538135777,1.44281942393111e-06,3,1
"47",0.99999251696483,7.38858845224885e-06,3,1
"48",0.999983520538524,1.62624082521829e-05,3,1
"49",0.999974682268214,2.50198024252265e-05,3,1
"50",0.999945166185164,5.41186107961702e-05,3,1
"51",0.999986369960218,1.3461071053345e-05,3,1
"52",0.999984326373284,1.54444439664845e-05,3,1
"53",0.999995433466119,4.50441316807231e-06,3,1
"54",0.999989152793996,1.07093567353174e-05,3,1
"55",0.999989379958091,1.04821562670984e-05,3,1
"56",0.999951222789517,4.80371336988604e-05,3,1
"57",0.99999341771401,6.49809985700653e-06,3,1
"58",0.999998799574604,1.18471172283029e-06,3,1
"59",0.999978944857108,2.07782677748439e-05,3,1
