"","H","C","D","tau"
"1",0.999981743623363,1.80314419643827e-05,3,1
"2",0.9999872974504,1.25277082118811e-05,3,1
"3",0.999987471650146,1.2368333373553e-05,3,1
"4",0.999957041894539,4.24030297355493e-05,3,1
"5",0.999984777072288,1.50231097597687e-05,3,1
"6",0.999997044769173,2.9164037934336e-06,3,1
"7",0.999978929358831,2.07774677867527e-05,3,1
"8",0.999981642955206,1.81150392794411e-05,3,1
"9",0.999990205460383,9.66540109429956e-06,3,1
"10",0.999975346210749,2.4369510418393e-05,3,1
"11",0.999980408286299,1.93623527157759e-05,3,1
"12",0.999987105548593,1.27245270117293e-05,3,1
"13",0.999994362218114,5.5626753203654e-06,3,1
"14",0.999930823759954,6.82876666776983e-05,3,1
"15",0.99998474264803,1.50509365521144e-05,3,1
"16",0.999954016481768,4.53636828532435e-05,3,1
"17",0.9999916185184,8.26113465640914e-06,3,1
"18",0.999973778497356,2.58638050553017e-05,3,1
"19",0.999929891760987,6.92178223436529e-05,3,1
"20",0.999995910232856,4.03596391390718e-06,3,1
"21",0.999998855975964,1.12898368904496e-06,3,1
"22",0.999965549751962,3.39949725245415e-05,3,1
"23",0.999979674067482,2.00406413918906e-05,3,1
"24",0.999986199736646,1.36185208007598e-05,3,1
"25",0.999989550509576,1.03116547022955e-05,3,1
"26",0.999992959022276,6.94310069109175e-06,3,1
"27",0.999989986851755,9.88257946571697e-06,3,1
"28",0.999988065344857,1.1772420565869e-05,3,1
"29",0.999996223912178,3.72696846098384e-06,3,1
"30",0.999998502459789,1.47778284970372e-06,3,1
"31",0.999988209990486,1.16296930297682e-05,3,1
"32",0.99999105140888,8.82957872440948e-06,3,1
"33",0.999982359245,1.74116632036081e-05,3,1
"34",0.999996528389768,3.42564337095067e-06,3,1
"35",0.99998835724011,1.14864145844512e-05,3,1
"36",0.999991504790956,8.38782416401836e-06,3,1
"37",0.999991041965538,8.8448829512193e-06,3,1
"38",0.999988083674426,1.17651196699358e-05,3,1
"39",0.999979350410625,2.03308038243183e-05,3,1
"40",0.999991009225954,8.86822756051355e-06,3,1
"41",0.999985102539492,1.46973534304999e-05,3,1
"42",0.999970241828491,2.93630491919983e-05,3,1
"43",0.99999703858075,2.92159955763388e-06,3,1
"44",0.999995816082674,4.12972414142954e-06,3,1
"45",0.999993637872466,6.27995465639842e-06,3,1
"46",0.999973575362746,2.60997500401553e-05,3,1
"47",0.999990723839413,9.15319137291068e-06,3,1
"48",0.999990925897568,8.95786386838661e-06,3,1
"49",0.999951501938631,4.79377929238105e-05,3,1
"50",0.999979599908121,2.01319065667722e-05,3,1
"51",0.999983684576256,1.61015842599798e-05,3,1
"52",0.99999656264245,3.39278626175835e-06,3,1
"53",0.999973014659404,2.66375163135089e-05,3,1
"54",0.999983517297811,1.62785111154893e-05,3,1
"55",0.999976293851657,2.33534666835974e-05,3,1
"56",0.999980781800796,1.89673801289451e-05,3,1
"57",0.999960098716062,3.93496596856295e-05,3,1
"58",0.999961929075136,3.75689631699975e-05,3,1
"59",0.999979142584718,2.05827955598735e-05,3,1
"60",0.999976596500636,2.30890987021809e-05,3,1
"61",0.99999255027244,7.34853714262713e-06,3,1
"62",0.999994501548586,5.42385394631941e-06,3,1
"63",0.999996988846048,2.97274741009692e-06,3,1
"64",0.999965638720985,3.39061712360089e-05,3,1
"65",0.999972544943822,2.71173687260871e-05,3,1
"66",0.999985439784277,1.4369319315044e-05,3,1
"67",0.999985793005769,1.4014375481485e-05,3,1
"68",0.999998900373218,1.08507646038962e-06,3,1
"69",0.999946395425665,5.28693877255392e-05,3,1
"70",0.99997579606621,2.38951912052117e-05,3,1
"71",0.999992061031283,7.83610585638025e-06,3,1
"72",0.999964108120351,3.5406437117032e-05,3,1
"73",0.999992883221844,7.01565215950245e-06,3,1
"74",0.999978743055684,2.10269237073167e-05,3,1
"75",0.999991642190695,8.24920853408392e-06,3,1
"76",0.999971107458332,2.85637902524668e-05,3,1
"77",0.999997626706433,2.3425098144875e-06,3,1
"78",0.999987739656631,1.21051459033556e-05,3,1
"79",0.999950349783441,4.89149436189494e-05,3,1
"80",0.999991189161902,8.69837655922588e-06,3,1
"81",0.999989467913312,1.03876583105241e-05,3,1
"82",0.999944700560494,5.46248267435464e-05,3,1
"83",0.999997599780799,2.36914721668219e-06,3,1
"84",0.999898144816992,0.000100357886589346,3,1
"85",0.999979800503737,1.99341144012161e-05,3,1
"86",0.999989392657373,1.04686434198863e-05,3,1
"87",0.999988823618671,1.10241090965161e-05,3,1
"88",0.999980567818043,1.91763640137471e-05,3,1
"89",0.999975442082939,2.42307955814483e-05,3,1
"90",0.999992129794377,7.76736793952367e-06,3,1
"91",0.999982074117861,1.77035195103305e-05,3,1
"92",0.99999020609355,9.67106289726565e-06,3,1
"93",0.999968971461484,3.05891939848581e-05,3,1
"94",0.999975809113421,2.38791850773645e-05,3,1
"95",0.99999236594776,7.53611719146622e-06,3,1
"96",0.999973484918222,2.61653919576435e-05,3,1
"97",0.999983190841321,1.65918120587948e-05,3,1
"98",0.999989182938295,1.06739756494072e-05,3,1
"99",0.999994676605895,5.25196921291225e-06,3,1
"100",0.999986948233983,1.28813619529012e-05,3,1
"101",0.999956896962553,5.64980604947236e-05,4,1
"102",0.99995683822535,5.65405594802627e-05,4,1
"103",0.999951461852048,6.36728110539955e-05,4,1
"104",0.999872437653722,0.000167576910039904,4,1
"105",0.999956766546913,5.67308997705997e-05,4,1
"106",0.999939211473132,7.96800660358533e-05,4,1
"107",0.999913328177959,0.000113650062183568,4,1
"108",0.999914525979623,0.000112109248783231,4,1
"109",0.999935458029682,8.46389426208116e-05,4,1
"110",0.999934752093351,8.55970056522688e-05,4,1
"111",0.999920084512346,0.000104988370030969,4,1
"112",0.999935640611107,8.4565879686169e-05,4,1
"113",0.999918738070693,0.000106744284659983,4,1
"114",0.999924601487483,9.89215949168191e-05,4,1
"115",0.999952333517251,6.24966789585197e-05,4,1
"116",0.999867878975161,0.000173037813952512,4,1
"117",0.999962251442045,4.95652711578382e-05,4,1
"118",0.999949306380796,6.6458099260105e-05,4,1
"119",0.999869865810455,0.000170802609264643,4,1
"120",0.999949834429896,6.58249194440128e-05,4,1
"121",0.999956784546276,5.66802301997867e-05,4,1
"122",0.999893529568051,0.000139958900023987,4,1
"123",0.999935130386403,8.48952776765318e-05,4,1
"124",0.999935844431658,8.42128158452172e-05,4,1
"125",0.999937034137809,8.26376720561932e-05,4,1
"126",0.999945143468522,7.19756849702422e-05,4,1
"127",0.999945406452053,7.16404880424742e-05,4,1
"128",0.999906189573406,0.000123118231411042,4,1
"129",0.999950831720827,6.46523448613031e-05,4,1
"130",0.999954353591876,5.97081181526437e-05,4,1
"131",0.999955886298697,5.78702531298764e-05,4,1
"132",0.99991292475995,0.000113781546506531,4,1
"133",0.999927798657352,9.48611845778002e-05,4,1
"134",0.999941899388977,7.60948286309971e-05,4,1
"135",0.999919795576069,0.000104966726311682,4,1
"136",0.999963809010836,4.74672086758893e-05,4,1
"137",0.999949826974615,6.57997319027028e-05,4,1
"138",0.999952176742439,6.27497522813e-05,4,1
"139",0.999919975313977,0.000104994123208425,4,1
"140",0.999950485530341,6.48694170398572e-05,4,1
"141",0.999924812550851,9.86147784934844e-05,4,1
"142",0.999921565211577,0.000102901146038771,4,1
"143",0.999962263242422,4.94862218465356e-05,4,1
"144",0.999929201332607,9.27747406423912e-05,4,1
"145",0.999923422381351,0.00010060735879431,4,1
"146",0.999924603545121,9.90506578914124e-05,4,1
"147",0.999951854118665,6.31353581880046e-05,4,1
"148",0.999966947364911,4.3398351548149e-05,4,1
"149",0.999913667901798,0.000113437542865988,4,1
"150",0.999924873041623,9.84588654228946e-05,4,1
"151",0.999937268749432,8.23485194303752e-05,4,1
