"","H","C","D","tau"
"1",0.999995128418912,4.80526149762477e-06,3,1
"2",0.99993324272475,6.59812408332233e-05,3,1
"3",0.9999662244598,3.3361802618074e-05,3,1
"4",0.999985823244454,1.39914446071137e-05,3,1
"5",0.999982550563654,1.72229888123088e-05,3,1
"6",0.999965247473003,3.42639345186259e-05,3,1
"7",0.999950939777928,4.82521784753859e-05,3,1
"8",0.99998790621253,1.19326248067763e-05,3,1
"9",0.999987296447326,1.2543739885341e-05,3,1
"10",0.999997889125198,2.08361272516798e-06,3,1
"11",0.999996764910598,3.18988268856086e-06,3,1
"12",0.999982850966787,1.69250566777954e-05,3,1
"13",0.999979548122307,2.01722390927381e-05,3,1
"14",0.999989025928142,1.08264182764246e-05,3,1
"15",0.999993613330428,6.3030570407401e-06,3,1
"16",0.999985363480878,1.44551709068831e-05,3,1
"17",0.999994767284627,5.16533524341222e-06,3,1
"18",0.999990187412475,9.68152548162282e-06,3,1
"19",0.999991433511123,8.46096081658416e-06,3,1
"20",0.999982591494487,1.71776257595564e-05,3,1
"21",0.99995320469983,4.60923808494611e-05,3,1
"22",0.999991164770006,8.7232488231545e-06,3,1
"23",0.999976737164135,2.29608467852388e-05,3,1
"24",0.999986360638629,1.34570338889993e-05,3,1
"25",0.999986808801458,1.29966013906554e-05,3,1
"26",0.99997594858731,2.37362693684931e-05,3,1
"27",0.999973332384445,2.63424028989316e-05,3,1
"28",0.999979362444596,2.03849572994975e-05,3,1
"29",0.999974778789995,2.49006709388564e-05,3,1
"30",0.999985235793079,1.45655215655789e-05,3,1
"31",0.999977718258142,2.20150048755865e-05,3,1
"32",0.999983093152998,1.6681570692357e-05,3,1
"33",0.999977626421998,2.20834507719059e-05,3,1
"34",0.999990562606455,9.31914546299858e-06,3,1
"35",0.999976609302652,2.30596171803673e-05,3,1
"36",0.999975037787747,2.46487969759629e-05,3,1
"37",0.999962846810815,3.66211334519412e-05,3,1
"38",0.999980280741812,1.94612055648423e-05,3,1
"39",0.999992603292629,7.29517100514207e-06,3,1
"40",0.999993581193198,6.33741363164707e-06,3,1
"41",0.999982312316403,1.74566755335135e-05,3,1
"42",0.999928955653322,7.00358037332577e-05,3,1
"43",0.999994048797616,5.87393522849903e-06,3,1
"44",0.999980689655986,1.90581666014587e-05,3,1
"45",0.999963979462114,3.55466430896579e-05,3,1
"46",0.999991539805521,8.34921187983765e-06,3,1
"47",0.999975729918994,2.39448326680033e-05,3,1
"48",0.999977859754554,2.18484701000731e-05,3,1
"49",0.999958860932922,4.05921254613967e-05,3,1
"50",0.999982086757988,1.76761844698693e-05,3,1
"51",0.999995234033263,4.70775534231753e-06,3,1
"52",0.999995287787972,4.64866788429236e-06,3,1
"53",0.999896755371153,0.000101865566895759,3,1
"54",0.99999006178315,9.80733234810642e-06,3,1
"55",0.999989955938072,9.91709475327042e-06,3,1
"56",0.9999676389342,3.18729804624356e-05,3,1
"57",0.999986032745352,1.37837512712461e-05,3,1
"58",0.999994707555401,5.22334109664137e-06,3,1
"59",0.999984552425836,1.52426237818668e-05,3,1
"60",0.999977938052198,2.1782777736742e-05,3,1
"61",0.999956415578732,4.30839070422012e-05,3,1
"62",0.999985300394997,1.45095591718655e-05,3,1
"63",0.999901148527696,9.73162136677173e-05,3,1
"64",0.9999559109034,4.35072453909377e-05,3,1
"65",0.999990736147953,9.14224231822336e-06,3,1
"66",0.999878275006482,0.000120060592802079,3,1
"67",0.9999630345344,3.64786685643613e-05,3,1
"68",0.999995110717815,4.82749725345933e-06,3,1
"69",0.999981828108161,1.79117194955137e-05,3,1
"70",0.999961559960373,3.79270194520444e-05,3,1
"71",0.999966630528364,3.29842954549928e-05,3,1
"72",0.999977994147173,2.17143088951712e-05,3,1
"73",0.999948938633179,5.04298423451305e-05,3,1
"74",0.999986592585214,1.32240661492995e-05,3,1
"75",0.999997385682375,2.57965194142817e-06,3,1
"76",0.999992263971502,7.63022431765285e-06,3,1
"77",0.999887963532791,0.000110589819059716,3,1
"78",0.999983100251474,1.6665110338851e-05,3,1
"79",0.99999836382006,1.61492580157627e-06,3,1
"80",0.999983285147249,1.64965345429352e-05,3,1
"81",0.999996973918471,2.9862501740539e-06,3,1
"82",0.999982713387216,1.70599515305114e-05,3,1
"83",0.999994731595462,5.19899104097338e-06,3,1
"84",0.99997804291897,2.16625969207525e-05,3,1
"85",0.999992991466359,6.9208554508485e-06,3,1
"86",0.99996930284208,3.03141583297831e-05,3,1
"87",0.999983247931245,1.65383917163079e-05,3,1
"88",0.999998000436793,1.97370379597431e-06,3,1
"89",0.999994159262708,5.762633583061e-06,3,1
"90",0.999989075633505,1.07786166664478e-05,3,1
"91",0.999998184567056,1.79103560072309e-06,3,1
"92",0.999991184325816,8.70024878317815e-06,3,1
"93",0.999982281635511,1.74782901078175e-05,3,1
"94",0.999973636929045,2.59980190215687e-05,3,1
"95",0.999988646373869,1.12005352568919e-05,3,1
"96",0.999975875462678,2.38001400432264e-05,3,1
"97",0.999988729182593,1.11321752285723e-05,3,1
