"","H","C","D","tau"
"1",0.999614817597054,0.000379832333259499,3,1
"2",0.999330111606905,0.000660049181385541,3,1
"3",0.999684005863568,0.00031397353427756,3,1
"4",0.999533949004171,0.000458048232289708,3,1
"5",0.999449918097728,0.000544185947497632,3,1
"6",0.999049333134934,0.000939330116666967,3,1
"7",0.998877356745394,0.00110399126466068,3,1
"8",0.99899173049907,0.000994748261205161,3,1
"9",0.999169072891827,0.000808849826406612,3,1
"10",0.998216644667494,0.0017437880937887,3,1
"11",0.998797767712959,0.00117707970009587,3,1
"12",0.999792337205928,0.000205063320407094,3,1
"13",0.999374381014098,0.000614462281156449,3,1
"14",0.999788502361301,0.000209079672153043,3,1
"15",0.999805766736576,0.000191826498247887,3,1
"16",0.999025253680552,0.000946995185581577,3,1
"17",0.999345999908214,0.000644832319105899,3,1
"18",0.999423619698625,0.000564890349655479,3,1
"19",0.998873123332897,0.00111184840521599,3,1
"20",0.998726109287853,0.00125135288091151,3,1
"21",0.997962531965629,0.00201010738106213,3,1
"22",0.998895197122768,0.00108598973295075,3,1
"23",0.999593369203926,0.000401631743927405,3,1
"24",0.999598294810678,0.000395993471485527,3,1
"25",0.999362617687604,0.000628559971818573,3,1
"26",0.999094511368527,0.000889128616665873,3,1
"27",0.999316683048909,0.000674924114107731,3,1
"28",0.999442842140166,0.000548033931547994,3,1
"29",0.999395541198983,0.000594811254242678,3,1
"30",0.998952482787603,0.00101651226276027,3,1
"31",0.998074251571266,0.00188461498209238,3,1
"32",0.998618239207181,0.00134964629935851,3,1
"33",0.999480524407859,0.000512160452651868,3,1
"34",0.999514399288711,0.00047865856393635,3,1
"35",0.999592774036323,0.000402499369041067,3,1
"36",0.999812408777801,0.000185313571990594,3,1
"37",0.999130739309591,0.000847291748800126,3,1
"38",0.999437824781761,0.000553814290063361,3,1
"39",0.999482339633129,0.000511163506755679,3,1
"40",0.998104803487626,0.00188079787476107,3,1
"41",0.999040208608065,0.000947808942233597,3,1
"42",0.998429257939906,0.001555962447263,3,1
"43",0.999453452796753,0.000537311064879623,3,1
"44",0.999903903624338,9.46862456171968e-05,3,1
"45",0.999576144777438,0.000417156452780857,3,1
"46",0.998651071586986,0.00133408411036105,3,1
"47",0.998877556613513,0.00109886805388922,3,1
"48",0.999389539337762,0.000603653441517364,3,1
"49",0.999537987810552,0.000453726669143555,3,1
"50",0.99890659881193,0.00107900577392223,3,1
"51",0.99916999906062,0.000810756704971017,3,1
"52",0.998791744574723,0.00118412977784675,3,1
"53",0.998480648335065,0.00148339752907017,3,1
"54",0.999537220393555,0.000456489396425312,3,1
"55",0.999579489171041,0.000413858790396175,3,1
"56",0.999607534962918,0.000387298706084839,3,1
"57",0.999618070907033,0.000376671530751755,3,1
"58",0.999546276802898,0.000443160498875571,3,1
"59",0.999536017334018,0.000458281607843714,3,1
"60",0.998735717148934,0.00125717871646875,3,1
"61",0.997745609411613,0.00223064441897117,3,1
"62",0.999237460489004,0.000752303565296402,3,1
"63",0.998677710740847,0.00130308625672934,3,1
"64",0.999689888876228,0.000305253329784471,3,1
"65",0.999375174508021,0.000613331441896981,3,1
"66",0.999849957178382,0.000147986309041016,3,1
"67",0.99924790060081,0.000741829731060247,3,1
"68",0.998722249126515,0.00124894276520639,3,1
"69",0.999564303910336,0.000429691254627819,3,1
"70",0.999471544054149,0.000523843796089957,3,1
"71",0.999204815059672,0.000784004675632882,3,1
"72",0.999549855161925,0.000439523890647513,3,1
"73",0.998590315053078,0.00138402025588691,3,1
"74",0.997892226919947,0.00205437799524062,3,1
"75",0.998720660190035,0.00126092646293132,3,1
"76",0.999653833470627,0.000340350581023391,3,1
"77",0.999520234552794,0.000471699754346004,3,1
"78",0.999581655103262,0.000412320849137481,3,1
"79",0.999408419717192,0.000584013843464775,3,1
"80",0.999246028423523,0.000747970820140749,3,1
"81",0.999081635872974,0.000904839627051101,3,1
"82",0.999131250209109,0.000856292261605178,3,1
"83",0.999118723818248,0.000869839478242123,3,1
"84",0.998710131791584,0.00127162826721584,3,1
"85",0.999846315360563,0.00015171966370768,3,1
"86",0.999335676099558,0.000653534973707119,3,1
"87",0.999937135710243,6.20864266579766e-05,3,1
"88",0.999398850266132,0.000591575600328889,3,1
"89",0.997973996474161,0.00198496917605599,3,1
"90",0.999315999138645,0.000674252493822786,3,1
"91",0.999216737916571,0.000779754803458696,3,1
"92",0.998489789604697,0.00148933503828255,3,1
