"","H","C","D","tau"
"1",0.999952675377377,4.66820144896251e-05,3,1
"2",0.999948300975153,5.10213461069983e-05,3,1
"3",0.999956137254537,4.32881555907177e-05,3,1
"4",0.999940472433898,5.87417165974895e-05,3,1
"5",0.999957073433746,4.2357174362976e-05,3,1
"6",0.999944730416773,5.45251349043389e-05,3,1
"7",0.999954419503391,4.49814216281211e-05,3,1
"8",0.999948775016524,5.05470626292892e-05,3,1
"9",0.999944720880354,5.45703160470312e-05,3,1
"10",0.999949461718524,4.98340569452691e-05,3,1
"11",0.999948534061298,5.07900189032256e-05,3,1
"12",0.999954871771879,4.45340631566882e-05,3,1
"13",0.9999404999406,5.87188378001712e-05,3,1
"14",0.999956561486096,4.285917141241e-05,3,1
"15",0.999944955440859,5.43057344876982e-05,3,1
"16",0.999953875059482,4.55189564710014e-05,3,1
"17",0.999948312264534,5.10059719096901e-05,3,1
"18",0.999943962963234,5.53167451087902e-05,3,1
"19",0.999951431040684,4.78926916820517e-05,3,1
"20",0.999946931825373,5.23645146075469e-05,3,1
"21",0.999955962820524,4.34624037741901e-05,3,1
"22",0.999937520215828,6.16593678925776e-05,3,1
"23",0.99995895421261,4.04972803215282e-05,3,1
"24",0.999944915317613,5.43466086124625e-05,3,1
"25",0.999954478099663,4.4929720013943e-05,3,1
"26",0.999946543402732,5.27457905326301e-05,3,1
"27",0.999945916732605,5.33898173954699e-05,3,1
"28",0.999950367081543,4.89394497693643e-05,3,1
"29",0.999949057315835,5.02666843461194e-05,3,1
"30",0.999954188341044,4.52138649933849e-05,3,1
"31",0.999936336536909,6.28277921730374e-05,3,1
"32",0.999960090100341,3.9377752982502e-05,3,1
"33",0.999943271955095,5.59621333303998e-05,3,1
"34",0.999955341767466,4.40763231985045e-05,3,1
"35",0.999946537983732,5.27564582593511e-05,3,1
"36",0.999948123452349,5.12133970233174e-05,3,1
"37",0.999950047027185,4.92538996780816e-05,3,1
"38",0.999948532723582,5.07827729646195e-05,3,1
"39",0.999952774103878,4.66131921582342e-05,3,1
"40",0.999935947246773,6.32063820105222e-05,3,1
"41",0.999960242728558,3.92278410134921e-05,3,1
"42",0.99994296050365,5.62684790075069e-05,3,1
"43",0.999957757896342,4.16910283509174e-05,3,1
"44",0.999944021782804,5.52415851708739e-05,3,1
"45",0.999948737408594,5.06020593490246e-05,3,1
"46",0.999952637880067,4.67084630552675e-05,3,1
"47",0.999944973181536,5.42894362610707e-05,3,1
