Publication Titles	Record Count	% of 2,138
ENTROPY	207	9.682
PHYSICA A STATISTICAL MECHANICS AND ITS APPLICATIONS	118	5.519
CHAOS	87	4.069
PHYSICAL REVIEW E	70	3.274
IEEE ACCESS	49	2.292
NONLINEAR DYNAMICS	47	2.198
SCIENTIFIC REPORTS	40	1.871
COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION	32	1.497
EUROPEAN PHYSICAL JOURNAL SPECIAL TOPICS	28	1.310
CHAOS SOLITONS FRACTALS	27	1.263
SENSORS	26	1.216
PLOS ONE	25	1.169
COMPLEXITY	23	1.076
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS	23	1.076
ACTA PHYSICA SINICA	20	0.935
BIOMEDICAL SIGNAL PROCESSING AND CONTROL	20	0.935
PHYSICS LETTERS A	18	0.842
IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY CONFERENCE PROCEEDINGS	17	0.795
SHOCK AND VIBRATION	17	0.795
OPTICS EXPRESS	16	0.748
MECHANICAL SYSTEMS AND SIGNAL PROCESSING	14	0.655
PHYSICA D NONLINEAR PHENOMENA	14	0.655
MEASUREMENT	13	0.608
COMPUTERS IN BIOLOGY AND MEDICINE	12	0.561
EUROPEAN PHYSICAL JOURNAL B	12	0.561
OPTICS COMMUNICATIONS	12	0.561
APPLIED SCIENCES BASEL	11	0.514
IEEE JOURNAL OF QUANTUM ELECTRONICS	11	0.514
MATHEMATICAL PROBLEMS IN ENGINEERING	11	0.514
MEDICAL BIOLOGICAL ENGINEERING COMPUTING	11	0.514
ENERGIES	10	0.468
JOURNAL OF VIBRATION AND CONTROL	10	0.468
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	10	0.468
CLINICAL NEUROPHYSIOLOGY	9	0.421
FRONTIERS IN PHYSIOLOGY	9	0.421
OPTICS LETTERS	9	0.421
PHYSIOLOGICAL MEASUREMENT	9	0.421
PROCEEDINGS OF SPIE	9	0.421
COGNITIVE NEURODYNAMICS	8	0.374
EPL	8	0.374
JOURNAL OF VIBROENGINEERING	8	0.374
NEUROCOMPUTING	8	0.374
ANESTHESIOLOGY	7	0.327
COMPUTING IN CARDIOLOGY CONFERENCE	7	0.327
FLUCTUATION AND NOISE LETTERS	7	0.327
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING	7	0.327
LECTURE NOTES IN COMPUTER SCIENCE	7	0.327
MEASUREMENT SCIENCE AND TECHNOLOGY	7	0.327
APPLIED ACOUSTICS	6	0.281
